146915,10541A1228,R10203,ENGINEERING PHYSICS -II,7,42,2,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146916,14541A0305,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146917,14541A0323,R13203,ENGG. PHYSICS,14,35,3,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146918,14541A0326,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146919,14541A0333,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146920,14541A0342,R13202,MATHEMATICS-III,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146921,14541A0363,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146922,14541A0388,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146923,14541A0394,R13202,MATHEMATICS-III,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146924,14541A0394,R13207,MATHEMATICS-II (MM),---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146925,14541A0549,R13202,MATHEMATICS-III,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146926,15541A0315,R13202,MATHEMATICS-III,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146927,15541A0315,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146928,15541A0348,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
146929,15541A0560,R13203,ENGG. PHYSICS,---,No Change,---,12,Results For I B.TECH II Semester Recounting/Revaluation Examinations May-2018(Marks)
