140876,14541A0309,RT32031,OPERATIONS RESEARCH,20,29,3,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140877,14541A0311,RT32034,ROBOTICS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140878,14541A0324,RT32037A,REFRIGERATION & AIR CONDITIONING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140879,14541A0369,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140880,14541A0369,RT32033,DESIGN OF MACHINE MEMBERS  II,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140881,14541A0370,RT32031,OPERATIONS RESEARCH,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140882,14541A0370,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140883,14541A0370,RT32034,ROBOTICS,14,30,3,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140884,14541A0385,RT32032,INTERACTIVE COMPUTER GRAPHICS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140885,14541A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140886,14541A0549,RT32055,WEB TECHNOLOGIES,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140887,15541A0305,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140888,15541A0318,RT32033,DESIGN OF MACHINE MEMBERS  II,25,24,3,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140889,15541A0319,RT32035,HEAT TRANSFER,27,24,3,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140890,15541A0468,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,28,3,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140891,15541A0468,RT32042,DIGITAL SIGNAL PROCESSING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140892,15541A0555,RT32053,COMPUTER NETWORKS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140893,15541A0555,RT32055,WEB TECHNOLOGIES,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140894,15541A0562,RT32052,DATA WARE HOUSING AND MINING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140895,16545A0303,RT32031,OPERATIONS RESEARCH,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140896,16545A0305,RT32037A,REFRIGERATION & AIR CONDITIONING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140897,16545A0316,RT32034,ROBOTICS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140898,16545A0425,RT32042,DIGITAL SIGNAL PROCESSING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140899,16545A0425,RT32043,DIGITAL COMMUNICATIONS,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
140900,16545A0425,RT32044,MICROWAVE ENGINEERING,---,No Change,---,32,Results For III B.TECH II Semester Recounting/Revaluation Examinations Apr-2018(Marks)
