10541A1228,R10203,ENGINEERING PHYSICS -II,7,42,2
14541A0305,R13203,ENGG. PHYSICS,---,No Change,---
14541A0323,R13203,ENGG. PHYSICS,14,35,3
14541A0326,R13203,ENGG. PHYSICS,---,No Change,---
14541A0333,R13203,ENGG. PHYSICS,---,No Change,---
14541A0342,R13202,MATHEMATICS-III,---,No Change,---
14541A0363,R13203,ENGG. PHYSICS,---,No Change,---
14541A0388,R13203,ENGG. PHYSICS,---,No Change,---
14541A0394,R13202,MATHEMATICS-III,---,No Change,---
14541A0394,R13207,MATHEMATICS-II (MM),---,No Change,---
14541A0549,R13202,MATHEMATICS-III,---,No Change,---
15541A0315,R13202,MATHEMATICS-III,---,No Change,---
15541A0315,R13203,ENGG. PHYSICS,---,No Change,---
15541A0348,R13203,ENGG. PHYSICS,---,No Change,---
15541A0560,R13203,ENGG. PHYSICS,---,No Change,---
