10541A0224,R10207,ENVIRONMENTAL STUDIES,13,31,2
10541A0349,R10202,MATHEMATICS- II,14,20,0
10541A0523,R10205,ENGINEERING DRAWING,17,-1,0
10541A1228,R10203,ENGINEERING PHYSICS -II,7,10,0
10541A1228,R10206,MATHEMATICAL METHODS,9,-1,0
11541A0317,R10205,ENGINEERING DRAWING,17,-1,0
11541A0518,R10203,ENGINEERING PHYSICS -II,13,35,2
11541A0518,R10204,ENGINEERING CHEMISTRY -II,7,39,2
12541A0205,R10202,MATHEMATICS- II,10,-1,0
12541A0205,R10203,ENGINEERING PHYSICS -II,14,25,0
12541A0304,R10203,ENGINEERING PHYSICS -II,14,18,0
12541A0306,R13202,MATHEMATICS-III,10,-1,0
12541A0306,R13203,ENGG. PHYSICS,15,-1,0
12541A0405,R10202,MATHEMATICS- II,16,17,0
12541A0417,R10202,MATHEMATICS- II,16,-1,0
12541A0417,R10204,ENGINEERING CHEMISTRY -II,12,-1,0
13541A0306,R13202,MATHEMATICS-III,15,0,0
13541A0306,R13209,ENGG. DRAWING,22,29,3
13541A0310,R13203,ENGG. PHYSICS,24,-1,0
13541A0413,R13210,ENGG. MECHANICS,21,21,0
13541A0421,R13211,NETWORK ANALYSIS,28,6,0
13541A0433,R13202,MATHEMATICS-III,17,0,0
13541A0433,R13210,ENGG. MECHANICS,22,10,0
13541A0436,R13210,ENGG. MECHANICS,23,10,0
13541A0436,R13211,NETWORK ANALYSIS,23,6,0
13541A0501,R13203,ENGG. PHYSICS,23,12,0
14541A0203,R13205,C PROGRAMMING,20,29,3
14541A0206,R13204,ENGG. CHEMISTRY,7,33,3
14541A0206,R13205,C PROGRAMMING,21,29,3
14541A0212,R13205,C PROGRAMMING,21,15,0
14541A0214,R13210,ENGG. MECHANICS,19,0,0
14541A0215,R13210,ENGG. MECHANICS,23,8,0
14541A0216,R13204,ENGG. CHEMISTRY,12,13,0
14541A0216,R13205,C PROGRAMMING,12,29,3
14541A0219,R13205,C PROGRAMMING,20,23,0
14541A0219,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,10,19,0
14541A0221,R13202,MATHEMATICS-III,11,0,0
14541A0221,R13204,ENGG. CHEMISTRY,14,10,0
14541A0221,R13205,C PROGRAMMING,19,22,0
14541A0222,R13204,ENGG. CHEMISTRY,11,11,0
14541A0223,R13210,ENGG. MECHANICS,18,13,0
14541A0223,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,15,30,3
14541A0226,R13204,ENGG. CHEMISTRY,9,14,0
14541A0226,R13210,ENGG. MECHANICS,16,7,0
14541A0226,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,17,18,0
14541A0229,R13210,ENGG. MECHANICS,24,14,0
14541A0235,R13202,MATHEMATICS-III,12,0,0
14541A0235,R13205,C PROGRAMMING,11,31,3
14541A0236,R13205,C PROGRAMMING,21,32,3
14541A0240,R13205,C PROGRAMMING,16,19,0
14541A0304,R13209,ENGG. DRAWING,24,49,3
14541A0305,R13203,ENGG. PHYSICS,14,7,0
14541A0309,R13203,ENGG. PHYSICS,15,12,0
14541A0310,R13203,ENGG. PHYSICS,15,9,0
14541A0313,R13203,ENGG. PHYSICS,11,8,0
14541A0317,R13202,MATHEMATICS-III,12,13,0
14541A0317,R13203,ENGG. PHYSICS,11,12,0
14541A0317,R13207,MATHEMATICS-II (MM),9,-1,0
14541A0317,R13209,ENGG. DRAWING,20,29,3
14541A0323,R13203,ENGG. PHYSICS,14,14,0
14541A0326,R13202,MATHEMATICS-III,12,0,0
14541A0326,R13203,ENGG. PHYSICS,8,7,0
14541A0328,R13203,ENGG. PHYSICS,11,6,0
14541A0328,R13209,ENGG. DRAWING,23,33,3
14541A0330,R13202,MATHEMATICS-III,14,19,0
14541A0330,R13209,ENGG. DRAWING,18,13,0
14541A0332,R13203,ENGG. PHYSICS,17,8,0
14541A0333,R13203,ENGG. PHYSICS,8,8,0
14541A0336,R13203,ENGG. PHYSICS,17,7,0
14541A0339,R13203,ENGG. PHYSICS,12,13,0
14541A0342,R13202,MATHEMATICS-III,14,9,0
14541A0342,R13209,ENGG. DRAWING,28,23,0
14541A0360,R13203,ENGG. PHYSICS,11,12,0
14541A0361,R13202,MATHEMATICS-III,12,13,0
14541A0361,R13203,ENGG. PHYSICS,12,0,0
14541A0361,R13207,MATHEMATICS-II (MM),10,0,0
14541A0363,R13203,ENGG. PHYSICS,16,0,0
14541A0364,R13202,MATHEMATICS-III,15,21,0
14541A0364,R13203,ENGG. PHYSICS,12,6,0
14541A0365,R13203,ENGG. PHYSICS,9,-1,0
14541A0365,R13209,ENGG. DRAWING,24,32,3
14541A0370,R13203,ENGG. PHYSICS,11,12,0
14541A0370,R13209,ENGG. DRAWING,19,18,0
14541A0378,R13202,MATHEMATICS-III,11,9,0
14541A0378,R13203,ENGG. PHYSICS,14,0,0
14541A0378,R13207,MATHEMATICS-II (MM),13,0,0
14541A0378,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,43,3
14541A0378,R13209,ENGG. DRAWING,23,32,3
14541A0383,R13202,MATHEMATICS-III,13,0,0
14541A0388,R13203,ENGG. PHYSICS,17,-1,0
14541A0388,R13209,ENGG. DRAWING,27,34,3
14541A0394,R13202,MATHEMATICS-III,12,7,0
14541A0394,R13207,MATHEMATICS-II (MM),15,7,0
14541A0394,R13209,ENGG. DRAWING,17,41,3
14541A0403,R13202,MATHEMATICS-III,17,-1,0
14541A0403,R13210,ENGG. MECHANICS,21,0,0
14541A0410,R13202,MATHEMATICS-III,16,0,0
14541A0410,R13211,NETWORK ANALYSIS,23,16,0
14541A0412,R13211,NETWORK ANALYSIS,24,20,0
14541A0416,R13211,NETWORK ANALYSIS,19,9,0
14541A0417,R13204,ENGG. CHEMISTRY,9,17,0
14541A0417,R13211,NETWORK ANALYSIS,19,11,0
14541A0420,R13211,NETWORK ANALYSIS,21,29,3
14541A0428,R13210,ENGG. MECHANICS,23,15,0
14541A0428,R13211,NETWORK ANALYSIS,21,14,0
14541A0433,R13202,MATHEMATICS-III,17,22,0
14541A0434,R13202,MATHEMATICS-III,15,0,0
14541A0434,R13210,ENGG. MECHANICS,22,0,0
14541A0434,R13211,NETWORK ANALYSIS,23,10,0
14541A0435,R13204,ENGG. CHEMISTRY,8,10,0
14541A0435,R13205,C PROGRAMMING,20,13,0
14541A0435,R13210,ENGG. MECHANICS,21,9,0
14541A0435,R13211,NETWORK ANALYSIS,21,10,0
