09541A0253,X0225,ELECTROMAGNETIC FIELDS,7,4,0
09541A0322,X0322,OBJECT ORIENTED PROGRAMMING,8,45,4
09541A0480,X0221,MATHEMATICS - III,4,-1,0
09541A0480,X0421,PROBABILITY THEORY & STO. PROCESSES,7,0,0
09541A0480,X0424,ELECTRICAL TEHCNOLOGY,8,0,0
09541A04A3,X0221,MATHEMATICS - III,11,-1,0
10541A0208,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,4,0
10541A0244,R21024,ELECTRO MAGNETIC FIELD,6,12,0
10541A0244,R21026,ELECTRONIC DEVICES AND CIRCUITS,7,12,0
10541A0322,R21032,THERMODYNAMICS,14,3,0
10541A0420,R21026,ELECTRONIC DEVICES AND CIRCUITS,6,-1,0
10541A0420,R21041,ELECTRICAL TECHNOLOGY,8,-1,0
10541A0420,R21042,NETWORK ANALYSIS,9,-1,0
10541A0420,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,6,-1,0
10541A0420,R21044,SIGNALS & SYSTEMS,9,-1,0
10541A0444,R21042,NETWORK ANALYSIS,4,26,0
10541A0444,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,5,0,0
10541A0448,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,10,6,0
10541A0482,R21041,ELECTRICAL TECHNOLOGY,7,18,0
10541A0482,R21044,SIGNALS & SYSTEMS,19,31,4
10541A0485,R21026,ELECTRONIC DEVICES AND CIRCUITS,9,11,0
10541A0485,R21044,SIGNALS & SYSTEMS,7,4,0
10541A0545,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,-1,0
10541A0545,R21054,DIGITAL LOGIC DESIGN,11,-1,0
10541A1228,R21026,ELECTRONIC DEVICES AND CIRCUITS,10,0,0
11481A05D3,R21026,ELECTRONIC DEVICES AND CIRCUITS,11,0,0
11481A05D3,R21051,DATA STRUCTURES,17,-1,0
11481A05D3,R21054,DIGITAL LOGIC DESIGN,21,-1,0
11541A0212,R21025,ELECTRICAL MACHINES-I,8,20,0
11541A0212,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,0,0
11541A0317,R21013,ELECTRICAL AND ELECTRONICS ENGINEERING,6,-1,0
11541A0317,R21031,ENGINEERING MECHANICS,12,-1,0
11541A0317,R21032,THERMODYNAMICS,13,-1,0
11541A0319,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,10,16,0
11541A0322,R21021,FLUID MECHANICS & HYDRAULIC MACHINES,11,0,0
11541A0322,R21032,THERMODYNAMICS,16,4,0
11541A0421,R21041,ELECTRICAL TECHNOLOGY,14,30,4
11541A0421,R21044,SIGNALS & SYSTEMS,17,4,0
11541A0465,R21026,ELECTRONIC DEVICES AND CIRCUITS,18,9,0
11541A0465,R21042,NETWORK ANALYSIS,14,16,0
11541A0476,R21041,ELECTRICAL TECHNOLOGY,8,27,0
11541A0518,R21026,ELECTRONIC DEVICES AND CIRCUITS,8,9,0
11541A0518,R21052,PROBABILITY & STATISTICS,16,37,4
11541A0518,R21054,DIGITAL LOGIC DESIGN,2,20,0
11541A0521,R21052,PROBABILITY & STATISTICS,16,35,4
,,,,,
11541A0521,R21054,DIGITAL LOGIC DESIGN,5,36,4
11541A0529,R21053,MATHEMATICAL FOUN. OF COMP.  SCI. AND EN,11,39,4
