09541A0253,V0222,LINEAR & DIGITAL IC APPLICATIONS,7,9,0
09541A0253,V0223,CONTROL SYSTEMS,7,8,0
09541A0486,V0223,CONTROL SYSTEMS,4,-1,0
09541A0486,V0421,PULSE & DIGITAL CIRCUITS,9,13,0
09541A0486,V0422,OBJECT ORIENTED PROGRAMMING,5,-1,0
10541A0208,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,14,-1,0
10541A0224,R22026,CONTROL SYSTEMS,15,-1,0
10541A0244,R22023,SWITCHING THEORY & LOGIC DESIGN,5,12,0
10541A0448,R22041,ANALOG COMMUNICATIONS,9,8,0
10541A0485,R22026,CONTROL SYSTEMS,6,51,4
10541A0523,R22055,FORMAL LANGUAGES AND AUTOMATA THEORY,12,25,0
10541A0545,R22053,DATA BASE MANAGEMENT SYSTEMS,20,-1,0
10541A1228,R22123,AUTOMATA THEORY & COMPILER DESIGN,11,16,0
11541A0212,R22021,PULSE & DIGITAL CIRCUITS,7,23,0
11541A0212,R22023,SWITCHING THEORY & LOGIC DESIGN,10,11,0
11541A0212,R22024,ELECTRICAL MACHINES-II,7,57,4
11541A0212,R22026,CONTROL SYSTEMS,5,13,0
11541A0317,R22032,KINEMATICS OF MACHINERY,12,14,0
11541A0432,R22026,CONTROL SYSTEMS,11,36,4
12541A0204,R22023,SWITCHING THEORY & LOGIC DESIGN,6,12,0
12541A0204,R22024,ELECTRICAL MACHINES-II,15,57,4
12541A0204,R22026,CONTROL SYSTEMS,14,13,0
12541A0204,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,10,20,0
12541A0304,R22032,KINEMATICS OF MACHINERY,18,11,0
12541A0306,RT22032,THERMAL ENGINEERING -I,21,24,3
12541A0306,RT22033,PRODUCTION TECHNOLOGY,17,36,3
12541A0306,RT22035,MACHINE DRAWING,16,29,3
12541A0405,R22021,PULSE & DIGITAL CIRCUITS,15,8,0
12541A0408,R22023,SWITCHING THEORY & LOGIC DESIGN,8,9,0
12541A0416,R22023,SWITCHING THEORY & LOGIC DESIGN,16,23,0
12541A0418,R22023,SWITCHING THEORY & LOGIC DESIGN,12,10,0
