10541A0224,R22026,CONTROL SYSTEMS,15,-1,0
10541A1228,R22123,AUTOMATA THEORY & COMPILER DESIGN,11,36,4
11481A05D3,R22053,DATA BASE MANAGEMENT SYSTEMS,18,-1,0
11541A0212,R22021,PULSE & DIGITAL CIRCUITS,7,6,0
11541A0212,R22023,SWITCHING THEORY & LOGIC DESIGN,10,15,0
11541A0365,R22033,THERMAL ENGINEERING -I,13,45,4
12541A0205,R22026,CONTROL SYSTEMS,11,-1,0
12541A0205,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,12,-1,0
12541A0405,R22021,PULSE & DIGITAL CIRCUITS,15,-1,0
13541A0306,RT22031,KINEMATICS OF MACHINERY,18,13,0
13541A0315,RT22031,KINEMATICS OF MACHINERY,20,13,0
13545A0414,R22021,PULSE & DIGITAL CIRCUITS,21,56,4
13545A0414,R22026,CONTROL SYSTEMS,14,42,4
13545A0414,R22041,ANALOG COMMUNICATIONS,20,37,4
13545A0414,R22042,EMWTL,17,8,0
13545A0414,R22043,ELECTRONIC CIRCUIT ANALYSIS,18,34,4
14541A0210,RT22025,ELECTRICAL MACHINES-II,19,12,0
14541A0210,RT22026,CONTROL SYSTEMS,24,22,0
14541A0214,RT22023,PULSE & DIGITAL CIRCUITS,20,22,0
14541A0214,RT22026,CONTROL SYSTEMS,29,14,0
14541A0218,RT22025,ELECTRICAL MACHINES-II,21,28,3
14541A0303,RT22031,KINEMATICS OF MACHINERY,20,34,3
14541A0303,RT22035,MACHINE DRAWING,20,28,3
14541A0305,RT22031,KINEMATICS OF MACHINERY,18,28,3
14541A0305,RT22033,PRODUCTION TECHNOLOGY,21,12,0
14541A0313,RT22031,KINEMATICS OF MACHINERY,19,33,3
14541A0317,RT22031,KINEMATICS OF MACHINERY,9,-1,0
14541A0325,RT22031,KINEMATICS OF MACHINERY,15,32,3
14541A0326,RT22031,KINEMATICS OF MACHINERY,13,15,0
14541A0332,RT22031,KINEMATICS OF MACHINERY,18,37,3
14541A0335,RT22032,THERMAL ENGINEERING -I,25,16,0
14541A0336,RT22031,KINEMATICS OF MACHINERY,25,38,3
14541A0338,RT22033,PRODUCTION TECHNOLOGY,21,11,0
14541A0345,RT22031,KINEMATICS OF MACHINERY,16,44,3
14541A0349,RT22031,KINEMATICS OF MACHINERY,13,31,3
14541A0349,RT22032,THERMAL ENGINEERING -I,18,9,0
14541A0349,RT22033,PRODUCTION TECHNOLOGY,17,6,0
14541A0349,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,11,7,0
14541A0349,RT22035,MACHINE DRAWING,24,0,0
14541A0355,RT22031,KINEMATICS OF MACHINERY,11,44,3
14541A0359,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,10,21,0
14541A0361,RT22031,KINEMATICS OF MACHINERY,11,9,0
14541A0361,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,7,0
14541A0364,RT22031,KINEMATICS OF MACHINERY,14,33,3
14541A0369,RT22031,KINEMATICS OF MACHINERY,17,44,3
14541A0369,RT22033,PRODUCTION TECHNOLOGY,20,12,0
14541A0371,RT22031,KINEMATICS OF MACHINERY,19,35,3
14541A0375,RT22031,KINEMATICS OF MACHINERY,15,32,3
14541A0378,RT22031,KINEMATICS OF MACHINERY,11,32,3
14541A0379,RT22031,KINEMATICS OF MACHINERY,13,28,3
14541A0379,RT22032,THERMAL ENGINEERING -I,20,9,0
14541A0379,RT22033,PRODUCTION TECHNOLOGY,20,8,0
14541A0379,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,19,0
14541A0382,RT22031,KINEMATICS OF MACHINERY,16,17,0
14541A0383,RT22031,KINEMATICS OF MACHINERY,10,22,0
14541A0383,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,23,0
14541A0386,RT22031,KINEMATICS OF MACHINERY,18,28,3
14541A0388,RT22031,KINEMATICS OF MACHINERY,15,28,3
14541A0388,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,20,0
14541A0390,RT22031,KINEMATICS OF MACHINERY,18,32,3
14541A0390,RT22035,MACHINE DRAWING,24,-1,0
14541A0401,RT22044,EM WAVES AND TRANSMISSION LINES,21,12,0
14541A0401,RT22045,ANALOG COMMUNICATIONS,17,17,0
14541A0405,RT22022,SWITCHING THEORY AND LOGIC DESIGN,15,15,0
14541A0405,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,20,13,0
14541A0405,RT22043,MANAGEMENT SCIENCE,17,19,0
14541A0405,RT22044,EM WAVES AND TRANSMISSION LINES,18,8,0
14541A0416,RT22044,EM WAVES AND TRANSMISSION LINES,30,14,0
14541A0417,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,29,12,0
14541A0421,RT22041,ELECTRONIC CIRCUIT ANALYSIS,24,0,0
14541A0425,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,16,0
14541A0425,RT22044,EM WAVES AND TRANSMISSION LINES,20,13,0
14541A0429,RT22044,EM WAVES AND TRANSMISSION LINES,20,0,0
14541A0433,RT22022,SWITCHING THEORY AND LOGIC DESIGN,19,29,3
14541A0433,RT22045,ANALOG COMMUNICATIONS,17,37,3
14541A0434,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,15,0
14541A0434,RT22045,ANALOG COMMUNICATIONS,29,17,0
14541A0435,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,18,23,0
14541A0435,RT22043,MANAGEMENT SCIENCE,18,14,0
14541A0435,RT22044,EM WAVES AND TRANSMISSION LINES,21,20,0
14541A0437,RT22044,EM WAVES AND TRANSMISSION LINES,21,0,0
14541A0440,RT22041,ELECTRONIC CIRCUIT ANALYSIS,19,8,0
