09541A0253,V0222,LINEAR & DIGITAL IC APPLICATIONS,7,4,0
09541A0253,V0223,CONTROL SYSTEMS,7,13,0
09541A0322,V0322,THERMAL ENGINEERING - I,10,47,4
09541A0480,V0223,CONTROL SYSTEMS,7,10,0
09541A0480,V0421,PULSE & DIGITAL CIRCUITS,8,15,0
09541A0480,V0425,ANALOG COMMUNICATIONS,12,20,0
09541A0486,V0223,CONTROL SYSTEMS,4,17,0
09541A0486,V0421,PULSE & DIGITAL CIRCUITS,9,21,0
09541A0486,V0422,OBJECT ORIENTED PROGRAMMING,5,12,0
09541A0486,V0425,ANALOG COMMUNICATIONS,16,32,4
09541A04A3,V0223,CONTROL SYSTEMS,16,2,0
09541A04A3,V0422,OBJECT ORIENTED PROGRAMMING,10,-1,0
10541A0208,R22026,CONTROL SYSTEMS,13,31,4
10541A0208,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,14,5,0
10541A0244,R22023,SWITCHING THEORY & LOGIC DESIGN,5,20,0
10541A0324,R22031,MECHANICS OF SOLIDS,9,31,4
10541A0346,R22031,MECHANICS OF SOLIDS,13,32,4
10541A0444,R22026,CONTROL SYSTEMS,7,-1,0
10541A0448,R22041,ANALOG COMMUNICATIONS,9,2,0
10541A0482,R22043,ELECTRONIC CIRCUIT ANALYSIS,8,27,0
10541A0485,R22026,CONTROL SYSTEMS,6,-1,0
10541A0485,R22043,ELECTRONIC CIRCUIT ANALYSIS,7,37,4
10541A0523,R22055,FORMAL LANGUAGES AND AUTOMATA THEORY,12,7,0
10541A1228,R22123,AUTOMATA THEORY & COMPILER DESIGN,11,16,0
11481A05D3,R22053,DATA BASE MANAGEMENT SYSTEMS,18,-1,0
11541A0212,R22021,PULSE & DIGITAL CIRCUITS,7,3,0
11541A0212,R22023,SWITCHING THEORY & LOGIC DESIGN,10,15,0
11541A0212,R22024,ELECTRICAL MACHINES-II,7,8,0
11541A0212,R22026,CONTROL SYSTEMS,5,15,0
11541A0421,R22021,PULSE & DIGITAL CIRCUITS,15,32,4
11541A0432,R22042,EMWTL,13,11,0
11541A0465,R22042,EMWTL,16,-1,0
11545A0203,R22026,CONTROL SYSTEMS,11,31,4
11545A0207,R22023,SWITCHING THEORY & LOGIC DESIGN,16,30,4
12541A0204,R22023,SWITCHING THEORY & LOGIC DESIGN,6,6,0
12541A0204,R22024,ELECTRICAL MACHINES-II,15,7,0
12541A0204,R22026,CONTROL SYSTEMS,14,10,0
12541A0204,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,10,3,0
12541A0205,R22023,SWITCHING THEORY & LOGIC DESIGN,12,-1,0
12541A0205,R22024,ELECTRICAL MACHINES-II,16,-1,0
12541A0205,R22026,CONTROL SYSTEMS,11,-1,0
12541A0205,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,12,-1,0
12541A0304,R22032,KINEMATICS OF MACHINERY,18,4,0
12541A0405,R22021,PULSE & DIGITAL CIRCUITS,15,17,0
12541A0405,R22026,CONTROL SYSTEMS,16,31,4
,,,,,
12541A0408,R22023,SWITCHING THEORY & LOGIC DESIGN,8,24,0
12541A0408,R22026,CONTROL SYSTEMS,13,30,4
12541A0416,R22023,SWITCHING THEORY & LOGIC DESIGN,16,5,0
12541A0416,R22026,CONTROL SYSTEMS,14,26,4
12541A0416,R22042,EMWTL,14,27,4
12541A0416,R22043,ELECTRONIC CIRCUIT ANALYSIS,12,31,4
12541A0418,R22021,PULSE & DIGITAL CIRCUITS,20,26,4
12541A0418,R22023,SWITCHING THEORY & LOGIC DESIGN,12,8,0
12541A0418,R22026,CONTROL SYSTEMS,9,19,0
12541A0418,R22041,ANALOG COMMUNICATIONS,19,2,0
12541A0418,R22042,EMWTL,13,34,4
12541A0418,R22043,ELECTRONIC CIRCUIT ANALYSIS,12,32,4
12541A0426,R22026,CONTROL SYSTEMS,12,19,0
13541A0308,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,13,30,3
13541A0310,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,29,3
13541A0312,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,14,33,3
13541A0315,RT22031,KINEMATICS OF MACHINERY,20,4,0
13541A0315,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,30,3
13541A0317,RT22035,MACHINE DRAWING,24,25,3
13541A0319,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,13,30,3
13541A0320,RT22031,KINEMATICS OF MACHINERY,24,9,0
13541A0321,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,30,3
13541A0328,RT22031,KINEMATICS OF MACHINERY,21,10,0
13541A0330,RT22031,KINEMATICS OF MACHINERY,20,9,0
13541A0332,RT22031,KINEMATICS OF MACHINERY,19,4,0
13541A0332,RT22032,THERMAL ENGINEERING -I,20,3,0
13541A0332,RT22033,PRODUCTION TECHNOLOGY,19,7,0
13541A0332,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,18,27,3
13541A0332,RT22035,MACHINE DRAWING,25,24,3
13541A0335,RT22031,KINEMATICS OF MACHINERY,22,14,0
13541A0336,RT22031,KINEMATICS OF MACHINERY,14,0,0
13541A0336,RT22032,THERMAL ENGINEERING -I,23,0,0
13541A0336,RT22033,PRODUCTION TECHNOLOGY,21,4,0
13541A0336,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,15,25,3
13541A0336,RT22035,MACHINE DRAWING,18,25,3
13541A0339,RT22031,KINEMATICS OF MACHINERY,24,0,0
13541A0340,RT22032,THERMAL ENGINEERING -I,22,0,0
13541A0340,RT22033,PRODUCTION TECHNOLOGY,13,0,0
13541A0340,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,28,3
13541A0340,RT22035,MACHINE DRAWING,18,24,3
13541A0403,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,29,3
13541A0410,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,43,3
13541A0410,RT22044,EM WAVES AND TRANSMISSION LINES,24,14,0
13541A0411,RT22022,SWITCHING THEORY AND LOGIC DESIGN,14,30,3
13541A0413,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,24,35,3
13541A0413,RT22044,EM WAVES AND TRANSMISSION LINES,22,31,3
13541A0421,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,28,3
13541A0421,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,32,3
13541A0424,RT22044,EM WAVES AND TRANSMISSION LINES,23,12,0
13541A0429,RT22041,ELECTRONIC CIRCUIT ANALYSIS,23,2,0
13541A0429,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,18,34,3
,,,,,
13541A0433,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,4,0
13541A0436,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,22,28,3
13541A0501,RT22051,PROBABILITY AND STATISTICS,17,28,3
14541A0202,RT22025,ELECTRICAL MACHINES-II,26,28,3
14541A0203,RT22022,SWITCHING THEORY AND LOGIC DESIGN,25,37,3
14541A0206,RT22021,ENVIRONMENTAL STUDIES,24,30,3
14541A0206,RT22024,POWER SYSTEMS-I,28,31,3
14541A0206,RT22025,ELECTRICAL MACHINES-II,27,12,0
14541A0210,RT22025,ELECTRICAL MACHINES-II,19,1,0
14541A0210,RT22026,CONTROL SYSTEMS,24,1,0
14541A0212,RT22021,ENVIRONMENTAL STUDIES,24,30,3
14541A0212,RT22024,POWER SYSTEMS-I,29,31,3
14541A0214,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,28,3
14541A0214,RT22023,PULSE & DIGITAL CIRCUITS,20,7,0
14541A0214,RT22024,POWER SYSTEMS-I,23,33,3
14541A0214,RT22025,ELECTRICAL MACHINES-II,18,1,0
14541A0214,RT22026,CONTROL SYSTEMS,29,4,0
14541A0216,RT22025,ELECTRICAL MACHINES-II,16,5,0
14541A0216,RT22026,CONTROL SYSTEMS,29,8,0
14541A0218,RT22024,POWER SYSTEMS-I,27,30,3
14541A0218,RT22025,ELECTRICAL MACHINES-II,21,15,0
14541A0219,RT22025,ELECTRICAL MACHINES-II,25,5,0
14541A0221,RT22026,CONTROL SYSTEMS,27,2,0
14541A0222,RT22021,ENVIRONMENTAL STUDIES,15,18,0
14541A0222,RT22024,POWER SYSTEMS-I,28,29,3
14541A0222,RT22025,ELECTRICAL MACHINES-II,26,12,0
14541A0223,RT22024,POWER SYSTEMS-I,25,33,3
14541A0226,RT22023,PULSE & DIGITAL CIRCUITS,22,26,3
14541A0226,RT22025,ELECTRICAL MACHINES-II,20,8,0
14541A0226,RT22026,CONTROL SYSTEMS,27,30,3
14541A0229,RT22021,ENVIRONMENTAL STUDIES,24,32,3
14541A0229,RT22024,POWER SYSTEMS-I,26,35,3
14541A0229,RT22025,ELECTRICAL MACHINES-II,22,10,0
14541A0235,RT22021,ENVIRONMENTAL STUDIES,14,29,3
14541A0235,RT22025,ELECTRICAL MACHINES-II,24,14,0
14541A0236,RT22025,ELECTRICAL MACHINES-II,25,16,0
14541A0238,RT22025,ELECTRICAL MACHINES-II,19,-1,0
14541A0240,RT22025,ELECTRICAL MACHINES-II,15,15,0
14541A0301,RT22033,PRODUCTION TECHNOLOGY,28,12,0
14541A0305,RT22031,KINEMATICS OF MACHINERY,18,7,0
14541A0305,RT22033,PRODUCTION TECHNOLOGY,21,9,0
14541A0306,RT22033,PRODUCTION TECHNOLOGY,28,13,0
14541A0306,RT22035,MACHINE DRAWING,29,5,0
14541A0309,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,32,3
14541A0311,RT22033,PRODUCTION TECHNOLOGY,28,13,0
14541A0311,RT22035,MACHINE DRAWING,27,30,3
14541A0313,RT22031,KINEMATICS OF MACHINERY,19,7,0
14541A0315,RT22032,THERMAL ENGINEERING -I,26,34,3
14541A0315,RT22033,PRODUCTION TECHNOLOGY,19,16,0
14541A0315,RT22035,MACHINE DRAWING,19,10,0
