14541A0363,RT31031,DYNAMICS OF MACHINERY,---,No Change,---
14541A0431,RT31041,PULSE & DIGITAL CIRCUITS,---,No Change,---
15541A0319,RT31031,DYNAMICS OF MACHINERY,---,No Change,---
15541A0341,RT31031,DYNAMICS OF MACHINERY,---,No Change,---
15541A0341,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,20,28,3
15541A0413,RT31045,ANTENNAS AND WAVE PROPAGATION,---,No Change,---
15541A0479,RT31045,ANTENNAS AND WAVE PROPAGATION,25,29,3
15541A0489,RT31043,CONTROL SYSTEMS,---,No Change,---
15541A0560,RT31052,DATA COMMUNICATION,---,No Change,---
15541A0560,RT31054,DATABASE MANAGEMENT SYSTEMS,---,No Change,---
15541A0560,RT31055,OPERATING SYSTEMS,---,No Change,---
15541A0581,RT31051,COMPILER DESIGN,---,No Change,---
15541A0581,RT31052,DATA COMMUNICATION,---,No Change,---
15541A0581,RT31054,DATABASE MANAGEMENT SYSTEMS,---,No Change,---
15545A0409,RT31041,PULSE & DIGITAL CIRCUITS,---,No Change,---
15545A0409,RT31042,LINEAR INTEGRATED CIRCUIT APPLICATIONS,---,No Change,---
15545A0427,RT31043,CONTROL SYSTEMS,---,No Change,---
15545A0427,RT31045,ANTENNAS AND WAVE PROPAGATION,---,No Change,---
15545A0506,RT31052,DATA COMMUNICATION,---,No Change,---
16545A0303,RT31031,DYNAMICS OF MACHINERY,23,26,3
16545A0312,RT31031,DYNAMICS OF MACHINERY,---,No Change,---
16545A0320,RT31034,INSTRUMENTATION & CONTROL SYSTEMS,---,No Change,---
16545A0320,RT31036,METROLOGY,---,No Change,---
16545A0502,RT31052,DATA COMMUNICATION,---,No Change,---
16545A0502,RT31053,PRINCIPLES OF PROGRAMMING LANGUAGES,---,No Change,---
16545A0502,RT31055,OPERATING SYSTEMS,---,No Change,---
