09541A0262,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,8,1,0
09541A0262,R31023,POWER SYSTEMS-II,3,2,0
09541A0262,R31024,POWER ELECTRONICS,5,-1,0
09541A0321,R31031,FINITE ELEMENT METHODS,12,0,0
09541A0321,R31032,OPERATIONS RESEARCH,13,-1,0
09541A0321,R31033,DYNAMICS OF MACHINERY,12,-1,0
09541A0321,R31034,THERMAL ENGINEERING-II,11,-1,0
09541A0321,R31035,DESIGN OF MACHINE MEMBERS-I,5,-1,0
09541A0321,R31036,METAL CUTTING & MACHINE TOOLS,9,-1,0
10541A0208,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,4,11,0
10541A0208,R31026,LINEAR & DIGITAL IC APPLICATION,14,26,4
10541A0217,R31024,POWER ELECTRONICS,11,5,0
10541A0217,R31026,LINEAR & DIGITAL IC APPLICATION,15,61,4
10541A0231,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,20,2,0
10541A0231,R31025,ELECTRICAL MACHINES-III,15,17,0
10541A0233,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,9,0,0
10541A0233,R31022,ELECTRICAL MEASUREMENT,10,0,0
10541A0233,R31023,POWER SYSTEMS-II,4,0,0
10541A0233,R31024,POWER ELECTRONICS,10,4,0
10541A0233,R31025,ELECTRICAL MACHINES-III,8,10,0
10541A0233,R31026,LINEAR & DIGITAL IC APPLICATION,9,-1,0
10541A0233,R31027,ELECTRICAL MACHINES-II LAB,18,40,2
10541A0244,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,15,11,0
10541A0244,R31026,LINEAR & DIGITAL IC APPLICATION,16,9,0
10541A0246,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,17,-1,0
10541A0247,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,13,-1,0
10541A0247,R31022,ELECTRICAL MEASUREMENT,14,7,0
10541A0247,R31023,POWER SYSTEMS-II,10,-1,0
10541A0247,R31024,POWER ELECTRONICS,11,-1,0
10541A0247,R31025,ELECTRICAL MACHINES-III,16,-1,0
10541A0247,R31026,LINEAR & DIGITAL IC APPLICATION,16,-1,0
10541A0303,R31031,FINITE ELEMENT METHODS,11,-1,0
10541A0315,R31034,THERMAL ENGINEERING-II,13,38,4
10541A0322,R31031,FINITE ELEMENT METHODS,15,19,0
10541A0322,R31034,THERMAL ENGINEERING-II,13,13,0
10541A0324,R31032,OPERATIONS RESEARCH,6,6,0
10541A0324,R31036,METAL CUTTING & MACHINE TOOLS,10,1,0
10541A0335,R31031,FINITE ELEMENT METHODS,12,-1,0
10541A0335,R31034,THERMAL ENGINEERING-II,14,29,4
10541A0346,R31031,FINITE ELEMENT METHODS,15,17,0
10541A0346,R31033,DYNAMICS OF MACHINERY,11,-1,0
10541A0349,R31033,DYNAMICS OF MACHINERY,13,1,0
10541A0412,R31043,LINEAR IC APPLICATIONS,11,35,4
10541A0419,R31042,DIGITAL IC APPLICATIONS,5,3,0
10541A0420,R31041,COMPUTER ARCHITECTURE & ORGANIZATION,12,-1,0
10541A0420,R31042,DIGITAL IC APPLICATIONS,13,-1,0
10541A0420,R31043,LINEAR IC APPLICATIONS,8,-1,0
10541A0420,R31044,ELECTRONIC MEASUREMENTS AND INSTRUMENTATIONS,10,-1,0
10541A0420,R31045,ANTENNAS AND WAVE PROPAGATION,13,-1,0
10541A0420,R31046,DIGITAL COMMUNICATIONS,10,-1,0
10541A0444,R31046,DIGITAL COMMUNICATIONS,10,52,4
10541A0485,R31041,COMPUTER ARCHITECTURE & ORGANIZATION,15,31,4
10541A0485,R31044,ELECTRONIC MEASUREMENTS AND INSTRUMENTATIONS,15,8,0
10541A0516,R31052,COMPUTER NETWORKS,17,34,4
10541A0545,R31055,MICRO PROCESSORS AND MULTICORE SYSTEMS,8,-1,0
10541A0554,R31051,COMPILER DESIGN,13,9,0
10541A0554,R31054,COMPUTER GRAPHICS,12,34,4
10541A0559,R31052,COMPUTER NETWORKS,14,30,4
10541A0559,R31054,COMPUTER GRAPHICS,11,9,0
10541A0559,R31056,OPERATIONG SYSTEMS,8,19,0
10541A1228,R31052,COMPUTER NETWORKS,14,17,0
11541A0202,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,13,13,0
11541A0202,R31022,ELECTRICAL MEASUREMENT,9,31,4
11541A0202,R31023,POWER SYSTEMS-II,13,16,0
11541A0202,R31024,POWER ELECTRONICS,15,19,0
11541A0202,R31025,ELECTRICAL MACHINES-III,12,13,0
11541A0202,R31026,LINEAR & DIGITAL IC APPLICATION,13,38,4
11541A0203,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,18,16,0
11541A0203,R31024,POWER ELECTRONICS,17,0,0
11541A0203,R31026,LINEAR & DIGITAL IC APPLICATION,18,12,0
11541A0205,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,21,18,0
11541A0206,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,16,10,0
11541A0208,R31022,ELECTRICAL MEASUREMENT,18,26,4
11541A0209,R31024,POWER ELECTRONICS,17,30,4
11541A0211,R31022,ELECTRICAL MEASUREMENT,15,0,0
11541A0211,R31024,POWER ELECTRONICS,14,2,0
11541A0212,R31021,COMPLEX VARIABLEDS AND STATISTICAL METHODS,15,10,0
11541A0212,R31022,ELECTRICAL MEASUREMENT,14,37,4
11541A0212,R31023,POWER SYSTEMS-II,12,5,0
11541A0212,R31024,POWER ELECTRONICS,10,14,0
11541A0212,R31025,ELECTRICAL MACHINES-III,10,19,0
11541A0212,R31026,LINEAR & DIGITAL IC APPLICATION,14,7,0
11541A0222,R31022,ELECTRICAL MEASUREMENT,13,33,4
11541A0222,R31026,LINEAR & DIGITAL IC APPLICATION,14,36,4
11541A0223,R31026,LINEAR & DIGITAL IC APPLICATION,18,46,4
11541A0303,R31031,FINITE ELEMENT METHODS,7,-1,0
11541A0303,R31032,OPERATIONS RESEARCH,0,-1,0
11541A0303,R31033,DYNAMICS OF MACHINERY,4,-1,0
11541A0303,R31034,THERMAL ENGINEERING-II,4,-1,0
11541A0303,R31035,DESIGN OF MACHINE MEMBERS-I,0,-1,0
11541A0303,R31036,METAL CUTTING & MACHINE TOOLS,3,-1,0
11541A0303,R31037,THERMAL ENGINEERING LAB,14,30,2
11541A0303,R31038,MACHINE TOOLS LAB,14,32,2
11541A0305,R31033,DYNAMICS OF MACHINERY,16,8,0
11541A0309,R31031,FINITE ELEMENT METHODS,21,41,4
11541A0313,R31033,DYNAMICS OF MACHINERY,17,11,0
11541A0317,R31031,FINITE ELEMENT METHODS,18,21,0
11541A0317,R31035,DESIGN OF MACHINE MEMBERS-I,14,13,0
11541A0320,R31034,THERMAL ENGINEERING-II,5,26,0
11541A0320,R31036,METAL CUTTING & MACHINE TOOLS,11,2,0
11541A0321,R31031,FINITE ELEMENT METHODS,16,2,0
11541A0321,R31033,DYNAMICS OF MACHINERY,12,0,0
11541A0321,R31035,DESIGN OF MACHINE MEMBERS-I,14,15,0
11541A0322,R31031,FINITE ELEMENT METHODS,4,0,0
11541A0322,R31032,OPERATIONS RESEARCH,16,29,4
11541A0322,R31033,DYNAMICS OF MACHINERY,9,10,0
11541A0322,R31034,THERMAL ENGINEERING-II,7,10,0
11541A0322,R31035,DESIGN OF MACHINE MEMBERS-I,8,17,0
11541A0322,R31036,METAL CUTTING & MACHINE TOOLS,14,9,0
11541A0322,R31037,THERMAL ENGINEERING LAB,14,30,2
11541A0322,R31038,MACHINE TOOLS LAB,16,36,2
11541A0327,R31036,METAL CUTTING & MACHINE TOOLS,17,5,0
11541A0333,R31031,FINITE ELEMENT METHODS,20,30,4
11541A0333,R31034,THERMAL ENGINEERING-II,16,4,0
11541A0336,R31031,FINITE ELEMENT METHODS,18,26,4
11541A0337,R31034,THERMAL ENGINEERING-II,11,15,0
11541A0341,R31031,FINITE ELEMENT METHODS,20,27,4
11541A0341,R31033,DYNAMICS OF MACHINERY,15,2,0
11541A0341,R31034,THERMAL ENGINEERING-II,15,35,4
11541A0349,R31031,FINITE ELEMENT METHODS,17,0,0
11541A0349,R31033,DYNAMICS OF MACHINERY,16,6,0
11541A0349,R31034,THERMAL ENGINEERING-II,18,10,0
11541A0351,R31031,FINITE ELEMENT METHODS,15,17,0
11541A0351,R31034,THERMAL ENGINEERING-II,15,31,4
11541A0353,R31031,FINITE ELEMENT METHODS,19,33,4
11541A0354,R31034,THERMAL ENGINEERING-II,18,13,0
11541A0355,R31031,FINITE ELEMENT METHODS,15,6,0
