15541A0242,P1621026,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,F,0
15541A0242,R1631021,POWER SYSTEMS-II,F,0
15541A0242,R1631022,RENEWABLE ENERGY SOURCES,F,0
15541A0242,R1631023,SIGNALS AND SYSTEMS,F,0
15541A0242,R1631025,POWER ELECTRONICS,F,0
15541A0242,R1631026,ELECTRICAL MACHINES-II LABORATORY,F,0
15541A0242,R1631027,CONTROL SYSTEMS LABORATORY,A,2
15541A0242,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,S,2
15541A0391,P1622034,DESIGN OF MACHINE MEMBERS -I,F,0
15541A0391,R1631031,DYNAMICS OF MACHINERY,F,0
15541A0391,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
15541A0391,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
15541A0391,R1631034,OPERATIONS RESEARCH,F,0
15541A0391,R1631035,THERMAL ENGINEERING -II,F,0
15541A0391,R1631036,THEORY OF MACHINES LAB,ABSENT,0
15541A0391,R1631037,MACHINE TOOLS LAB,ABSENT,0
16541A0202,R1631021,POWER SYSTEMS-II,D,3
16541A0202,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0202,R1631023,SIGNALS AND SYSTEMS,B,3
16541A0202,R1631024,PULSE & DIGITAL CIRCUITS,B,3
16541A0202,R1631025,POWER ELECTRONICS,B,3
16541A0202,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0202,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0202,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0203,R1631021,POWER SYSTEMS-II,D,3
16541A0203,R1631022,RENEWABLE ENERGY SOURCES,B,3
16541A0203,R1631023,SIGNALS AND SYSTEMS,B,3
16541A0203,R1631024,PULSE & DIGITAL CIRCUITS,C,3
16541A0203,R1631025,POWER ELECTRONICS,A,3
16541A0203,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0203,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0203,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0204,R1631021,POWER SYSTEMS-II,A,3
16541A0204,R1631022,RENEWABLE ENERGY SOURCES,A,3
16541A0204,R1631023,SIGNALS AND SYSTEMS,C,3
16541A0204,R1631024,PULSE & DIGITAL CIRCUITS,B,3
16541A0204,R1631025,POWER ELECTRONICS,B,3
16541A0204,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0204,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0204,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0205,R1631021,POWER SYSTEMS-II,ABSENT,0
16541A0205,R1631022,RENEWABLE ENERGY SOURCES,ABSENT,0
16541A0205,R1631023,SIGNALS AND SYSTEMS,ABSENT,0
16541A0205,R1631024,PULSE & DIGITAL CIRCUITS,ABSENT,0
16541A0205,R1631025,POWER ELECTRONICS,ABSENT,0
16541A0205,R1631026,ELECTRICAL MACHINES-II LABORATORY,ABSENT,0
16541A0205,R1631027,CONTROL SYSTEMS LABORATORY,ABSENT,0
16541A0205,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,ABSENT,0
16541A0206,R1631021,POWER SYSTEMS-II,C,3
16541A0206,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0206,R1631023,SIGNALS AND SYSTEMS,B,3
16541A0206,R1631024,PULSE & DIGITAL CIRCUITS,C,3
16541A0206,R1631025,POWER ELECTRONICS,A,3
16541A0206,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0206,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0206,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0207,R1631021,POWER SYSTEMS-II,F,0
16541A0207,R1631022,RENEWABLE ENERGY SOURCES,C,3
16541A0207,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0207,R1631024,PULSE & DIGITAL CIRCUITS,D,3
16541A0207,R1631025,POWER ELECTRONICS,B,3
16541A0207,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0207,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0207,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0208,R1631021,POWER SYSTEMS-II,B,3
16541A0208,R1631022,RENEWABLE ENERGY SOURCES,A,3
16541A0208,R1631023,SIGNALS AND SYSTEMS,D,3
16541A0208,R1631024,PULSE & DIGITAL CIRCUITS,A,3
16541A0208,R1631025,POWER ELECTRONICS,B,3
16541A0208,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0208,R1631027,CONTROL SYSTEMS LABORATORY,O,2
