11481A05D3,R32053,DESIGN AND ANALYSIS OF ALGORITHMS,9,-1,0
11481A05D3,R32054,UNIX PROGRAMMING,14,-1,0
11481A05D3,R32055,ADVANCED JAVA AND WEB TECHNOLOGIES,12,-1,0
11541A0212,R32023,UTILIZATION  OF  ELECTRICAL  ENERGY,14,30,4
11541A0365,R32031,METROLOGY,5,39,4
11541A0365,R32032,ROBOTICS,14,40,4
11541A0365,R32033,HEAT TRANSFER,7,26,0
11541A0365,R32035,DESIGN OF MACHINE MEMBERS_II,7,0,0
13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,3,0
13541A0306,RT32035,HEAT TRANSFER,18,10,0
13541A0310,RT32031,OPERATIONS RESEARCH,18,25,3
13545A0414,R32043,DIGITAL SIGNAL PROCESSING,12,6,0
13545A0414,R32044,MICROPROCESSORS AND MICROCONTROLLERSS,24,42,4
13545A0414,R32045,VLSI DESIGN,19,9,0
14541A0205,RT32022,SWITCHGEAR AND PROTECTION,24,18,0
14541A0205,RT32025,MANAGEMENT SCIENCE,21,46,3
14541A0205,RT32026,POWER SEMICONDUCTOR DRIVES,21,16,0
14541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,33,3
14541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,26,3
14541A0215,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,16,0
14541A0222,RT32022,SWITCHGEAR AND PROTECTION,18,23,0
14541A0226,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,4,0
14541A0226,RT32023,UTILIZATION OF ELECTRICAL ENERGY,16,9,0
14541A0226,RT32024,POWER SYSTEM ANALYSIS,24,7,0
14541A0303,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,24,40,3
14541A0303,RT32037A,REFRIGERATION & AIR CONDITIONING,24,31,3
14541A0305,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,24,3
14541A0305,RT32034,ROBOTICS,23,30,3
14541A0305,RT32035,HEAT TRANSFER,25,24,3
14541A0309,RT32031,OPERATIONS RESEARCH,20,23,0
14541A0311,RT32034,ROBOTICS,25,10,0
14541A0313,RT32032,INTERACTIVE COMPUTER GRAPHICS,20,34,3
14541A0316,RT32031,OPERATIONS RESEARCH,27,2,0
14541A0316,RT32034,ROBOTICS,20,11,0
14541A0317,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0
14541A0317,RT32033,DESIGN OF MACHINE MEMBERS  II,19,3,0
14541A0317,RT32034,ROBOTICS,24,28,3
14541A0317,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,20,17,0
14541A0317,RT32037A,REFRIGERATION & AIR CONDITIONING,16,12,0
14541A0319,RT32031,OPERATIONS RESEARCH,20,28,3
14541A0319,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,17,0
14541A0319,RT32033,DESIGN OF MACHINE MEMBERS  II,27,41,3
14541A0319,RT32034,ROBOTICS,17,16,0
14541A0319,RT32035,HEAT TRANSFER,20,12,0
14541A0319,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,15,37,3
14541A0319,RT32037A,REFRIGERATION & AIR CONDITIONING,16,33,3
14541A0319,RT32038,HEAT TRANSFER LAB,17,45,2
14541A0324,RT32037A,REFRIGERATION & AIR CONDITIONING,19,12,0
14541A0326,RT32032,INTERACTIVE COMPUTER GRAPHICS,8,25,0
14541A0326,RT32034,ROBOTICS,12,17,0
14541A0328,RT32031,OPERATIONS RESEARCH,25,28,3
14541A0328,RT32037A,REFRIGERATION & AIR CONDITIONING,19,24,3
14541A0330,RT32034,ROBOTICS,25,29,3
14541A0332,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,21,21,0
14541A0332,RT32037A,REFRIGERATION & AIR CONDITIONING,19,14,0
14541A0333,RT32031,OPERATIONS RESEARCH,25,19,0
14541A0333,RT32037A,REFRIGERATION & AIR CONDITIONING,17,31,3
14541A0334,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,36,3
14541A0334,RT32034,ROBOTICS,25,39,3
14541A0338,RT32034,ROBOTICS,23,22,0
14541A0338,RT32035,HEAT TRANSFER,23,14,0
14541A0347,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,9,0
14541A0347,RT32034,ROBOTICS,22,15,0
14541A0347,RT32035,HEAT TRANSFER,15,20,0
14541A0349,RT32031,OPERATIONS RESEARCH,19,0,0
14541A0349,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,0,0
14541A0349,RT32033,DESIGN OF MACHINE MEMBERS  II,22,7,0
14541A0349,RT32034,ROBOTICS,22,8,0
14541A0349,RT32035,HEAT TRANSFER,13,11,0
14541A0349,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,15,27,3
14541A0349,RT32037A,REFRIGERATION & AIR CONDITIONING,16,3,0
14541A0352,RT32031,OPERATIONS RESEARCH,25,21,0
14541A0355,RT32034,ROBOTICS,26,52,3
14541A0359,RT32031,OPERATIONS RESEARCH,20,25,3
