09541A0253,V3209,INSTRUMENTATION,5,11,0
10541A0208,R32024,MICROPROCESSORS AND MICROCONTROLLER,13,34,4
10541A0485,R32043,DIGITAL SIGNAL PROCESSING,14,34,4
10541A0545,R32026,MANAGEMENT SCIENCE,7,10,0
11541A0212,R32023,UTILIZATION OF ELECTRICAL  ENERGY,14,21,0
11541A0212,R32024,MICROPROCESSORS AND MICROCONTROLLER,8,37,4
12541A0204,R32022,POWER  SYSTEM ANALYSIS,18,24,0
12541A0318,R32033,HEAT TRANSFER,18,32,4
12541A0318,R32035,DESIGN OF MACHINE MEMBERS_II,20,11,0
12541A0418,R32026,MANAGEMENT SCIENCE,15,-1,0
12541A0418,R32041,COMPUTER NETWORKS,15,-1,0
12541A0418,R32043,DIGITAL SIGNAL PROCESSING,13,17,0
13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,4,0
13541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,13,14,0
13541A0306,RT32035,HEAT TRANSFER,18,21,0
13541A0307,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,26,3
13541A0308,RT32037A,REFRIGERATION & AIR CONDITIONING,20,37,3
13541A0310,RT32031,OPERATIONS RESEARCH,18,8,0
13541A0311,RT32034,ROBOTICS,17,14,0
13541A0315,RT32033,DESIGN OF MACHINE MEMBERS  II,18,25,3
13541A0322,RT32033,DESIGN OF MACHINE MEMBERS  II,21,24,3
13541A0322,RT32037A,REFRIGERATION & AIR CONDITIONING,21,10,0
13541A0329,RT32033,DESIGN OF MACHINE MEMBERS  II,17,4,0
13541A0329,RT32034,ROBOTICS,14,31,3
13541A0329,RT32035,HEAT TRANSFER,23,-1,0
13541A0329,RT32037A,REFRIGERATION & AIR CONDITIONING,18,0,0
13541A0333,RT32033,DESIGN OF MACHINE MEMBERS  II,17,25,3
13541A0333,RT32035,HEAT TRANSFER,21,14,0
13541A0334,RT32031,OPERATIONS RESEARCH,17,39,3
13541A0334,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,4,0
13541A0334,RT32034,ROBOTICS,20,2,0
13541A0336,RT32031,OPERATIONS RESEARCH,21,11,0
13541A0336,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,24,3
13541A0336,RT32033,DESIGN OF MACHINE MEMBERS  II,21,14,0
13541A0336,RT32034,ROBOTICS,23,0,0
13541A0336,RT32035,HEAT TRANSFER,18,10,0
13541A0336,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,16,37,3
13541A0336,RT32037A,REFRIGERATION & AIR CONDITIONING,17,4,0
13541A0336,RT32038,HEAT TRANSFER LAB,22,42,2
13541A0340,RT32033,DESIGN OF MACHINE MEMBERS  II,16,24,3
13541A0408,RT32042,DIGITAL SIGNAL PROCESSING,25,27,3
13541A0410,RT32042,DIGITAL SIGNAL PROCESSING,23,14,0
13541A0411,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,20,31,3
13541A0413,RT32045A,BIO MEDICAL ENGINEERING,24,46,3
13541A0420,RT32042,DIGITAL SIGNAL PROCESSING,18,24,3
13541A0421,RT32042,DIGITAL SIGNAL PROCESSING,20,18,0
13541A0424,RT32045A,BIO MEDICAL ENGINEERING,18,28,3
13541A0428,RT32045A,BIO MEDICAL ENGINEERING,16,16,0
13541A0433,RT32042,DIGITAL SIGNAL PROCESSING,14,11,0
13541A0436,RT32045A,BIO MEDICAL ENGINEERING,19,28,3
13541A0502,RT32051,SOFTWARE ENGINEERING,19,0,0
13541A0502,RT32052,DATA WARE HOUSING AND MINING,17,0,0
