09541A0253,V3209,INSTRUMENTATION,5,5,0
09541A0480,V3208,MANAGEMENT SCIENCE,13,34,4
09541A04A3,V3219,VLSI DESIGN,13,0,0
10541A0208,R32024,MICROPROCESSORS AND MICROCONTROLLER,13,0,0
10541A0485,R32043,DIGITAL SIGNAL PROCESSING,14,2,0
11481A05D3,R32053,DESIGN AND ANALYSIS OF ALGORITHMS,9,-1,0
11481A05D3,R32054,UNIX PROGRAMMING,14,-1,0
11481A05D3,R32055,ADVANCED JAVA AND WEB TECHNOLOGIES,12,-1,0
11541A0212,R32023,UTILIZATION OF ELECTRICAL  ENERGY,14,11,0
11541A0212,R32024,MICROPROCESSORS AND MICROCONTROLLER,8,2,0
11541A0417,R32044,MICROPROCESSORS AND MICROCONTROLLERSS,15,16,0
11541A0421,R32026,MANAGEMENT SCIENCE,20,-1,0
11541A0476,R32043,DIGITAL SIGNAL PROCESSING,21,5,0
11541A0518,R32026,MANAGEMENT SCIENCE,14,34,4
11541A0518,R32051,ADVANCED COMPUTER NETWORKS,17,35,4
12541A0204,R32022,POWER  SYSTEM ANALYSIS,18,4,0
12541A0318,R32033,HEAT TRANSFER,18,12,0
12541A0318,R32035,DESIGN OF MACHINE MEMBERS_II,20,13,0
13541A0202,RT32021,MICROPROCESSORS & MICROCONTROLLERS,24,41,3
13541A0205,RT32026,POWER SEMICONDUCTOR DRIVES,23,30,3
13541A0301,RT32031,OPERATIONS RESEARCH,21,30,3
13541A0301,RT32033,DESIGN OF MACHINE MEMBERS  II,19,42,3
13541A0304,RT32035,HEAT TRANSFER,21,34,3
13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,8,0
13541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,13,8,0
13541A0307,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,10,0
13541A0308,RT32035,HEAT TRANSFER,20,34,3
13541A0308,RT32037A,REFRIGERATION & AIR CONDITIONING,20,15,0
13541A0310,RT32031,OPERATIONS RESEARCH,18,-1,0
13541A0310,RT32033,DESIGN OF MACHINE MEMBERS  II,17,29,3
13541A0310,RT32035,HEAT TRANSFER,18,38,3
13541A0311,RT32033,DESIGN OF MACHINE MEMBERS  II,16,30,3
13541A0311,RT32034,ROBOTICS,17,8,0
13541A0312,RT32035,HEAT TRANSFER,20,39,3
