10541A0322,R32036,INDUSTRIAL ENGG. & MANAGEMENT,3,29,0
10541A0349,R32033,HEAT TRANSFER,15,13,0
11541A0212,R32023,UTILIZATION OF ELECTRICAL  ENERGY,14,14,0
12541A0318,R32035,DESIGN OF MACHINE MEMBERS_II,20,0,0
12541A0406,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,24,29,3
12541A0417,R32041,COMPUTER NETWORKS,18,9,0
12541A0417,R32043,DIGITAL SIGNAL PROCESSING,12,32,4
12541A0418,R32026,MANAGEMENT SCIENCE,15,29,4
12541A0418,R32041,COMPUTER NETWORKS,15,14,0
13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,8,0
13541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,13,31,3
13541A0306,RT32035,HEAT TRANSFER,18,15,0
13541A0310,RT32031,OPERATIONS RESEARCH,18,0,0
13541A0322,RT32037A,REFRIGERATION & AIR CONDITIONING,21,16,0
13541A0410,RT32042,DIGITAL SIGNAL PROCESSING,23,44,3
13541A0433,RT32042,DIGITAL SIGNAL PROCESSING,14,25,0
14541A0203,RT32026,POWER SEMICONDUCTOR DRIVES,18,30,3
14541A0206,RT32024,POWER SYSTEM ANALYSIS,30,38,3
14541A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,24,3
14541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,16,0
14541A0210,RT32022,SWITCHGEAR AND PROTECTION,21,31,3
14541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,4,0
14541A0210,RT32026,POWER SEMICONDUCTOR DRIVES,17,29,3
14541A0214,RT32022,SWITCHGEAR AND PROTECTION,22,26,3
14541A0214,RT32026,POWER SEMICONDUCTOR DRIVES,20,28,3
14541A0215,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,21,0
14541A0216,RT32022,SWITCHGEAR AND PROTECTION,20,35,3
14541A0218,RT32026,POWER SEMICONDUCTOR DRIVES,20,32,3
14541A0219,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,32,3
