11541A0212,R41022,HIGH VOLTAGE ENGINEERING,14,12,0
11541A0212,R41024,POWER SYSTEM OPERATION & CONTROL,18,8,0
11541A0365,R41031,REFRIGERATION & AIR CONDITIONING,5,41,4
11541A0423,R41026,INSTRUMENTATION,23,13,0
12541A0405,R41043,DIGITAL IMAGE PROCESSING,14,18,0
12541A0429,R41043,DIGITAL IMAGE PROCESSING,19,0,0
13541A0315,RT41033,FINITE ELEMENT METHODS,16,30,3
13541A0317,RT41031,AUTOMOBILE ENGINEERING,20,13,0
13541A0324,RT41033,FINITE ELEMENT METHODS,23,24,3
14541A0303,RT41033,FINITE ELEMENT METHODS,22,34,3
14541A0309,RT41033,FINITE ELEMENT METHODS,22,28,3
14541A0311,RT41033,FINITE ELEMENT METHODS,21,30,3
14541A0317,RT41033,FINITE ELEMENT METHODS,14,16,0
14541A0317,RT41035,MEMS,21,0,0
14541A0319,RT41031,AUTOMOBILE ENGINEERING,19,44,3
14541A0319,RT41032,CAD / CAM,20,27,3
14541A0319,RT41033,FINITE ELEMENT METHODS,19,39,3
14541A0319,RT41034,UNCONVENTIONAL MACHINING PROCESSES,24,32,3
14541A0319,RT41035,MEMS,22,34,3
14541A0319,RT41039,AUTOMATION IN MANUFACTURING,23,49,3
14541A0319,RT4103L,SIMULATION LAB,23,45,2
14541A0319,RT4103M,DESIGN FABRICATION PROJECT,48,0,1
14541A0326,RT41033,FINITE ELEMENT METHODS,18,0,0
14541A0328,RT41033,FINITE ELEMENT METHODS,18,42,3
14541A0344,RT41033,FINITE ELEMENT METHODS,22,14,0
14541A0346,RT41032,CAD / CAM,16,13,0
14541A0346,RT41033,FINITE ELEMENT METHODS,9,28,0
14541A0347,RT41032,CAD / CAM,21,11,0
14541A0347,RT41033,FINITE ELEMENT METHODS,19,0,0
14541A0353,RT41032,CAD / CAM,26,11,0
14541A0359,RT41032,CAD / CAM,21,11,0
14541A0359,RT41033,FINITE ELEMENT METHODS,17,7,0
14541A0361,RT41031,AUTOMOBILE ENGINEERING,13,16,0
14541A0361,RT41033,FINITE ELEMENT METHODS,19,0,0
14541A0361,RT41034,UNCONVENTIONAL MACHINING PROCESSES,17,19,0
14541A0361,RT41039,AUTOMATION IN MANUFACTURING,16,38,3
14541A0365,RT41033,FINITE ELEMENT METHODS,24,-1,0
14541A0370,RT41031,AUTOMOBILE ENGINEERING,15,31,3
14541A0370,RT41033,FINITE ELEMENT METHODS,16,16,0
14541A0370,RT41039,AUTOMATION IN MANUFACTURING,18,30,3
14541A0382,RT41032,CAD / CAM,26,7,0
14541A0382,RT41033,FINITE ELEMENT METHODS,17,26,3
14541A0382,RT41035,MEMS,22,33,3
14541A0382,RT41039,AUTOMATION IN MANUFACTURING,19,30,3
14541A0382,RT4103L,SIMULATION LAB,24,40,2
14541A0383,RT41032,CAD / CAM,22,20,0
14541A0383,RT41033,FINITE ELEMENT METHODS,17,18,0
14541A0386,RT41032,CAD / CAM,22,2,0
14541A0387,RT41033,FINITE ELEMENT METHODS,17,35,3
14541A0403,RT41042,COMPUTER NETWORKS,24,39,3
14541A0405,RT41043,DIGITAL IMAGE PROCESSING,24,8,0
14541A0405,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,5,30,0
14541A0405,RT41048,RADAR SYSTEMS,12,38,3
14541A0435,RT41041,VLSI DESIGN,19,26,3
14541A0435,RT41042,COMPUTER NETWORKS,18,9,0
14541A0435,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,3,0
14541A0437,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,19,11,0
14541A0438,RT41042,COMPUTER NETWORKS,22,33,3
14541A0482,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,22,6,0
14541A0510,RT41051,CRYPTOGRAPHY AND NETWORK SECURITY,22,30,3
14541A0534,RT41051,CRYPTOGRAPHY AND NETWORK SECURITY,21,10,0
14541A0534,RT41053,MOBILE COMPUTING,19,33,3
14545A0304,RT41033,FINITE ELEMENT METHODS,18,14,0
14545A0412,RT41043,DIGITAL IMAGE PROCESSING,18,0,0
14545A0414,RT41043,DIGITAL IMAGE PROCESSING,19,12,0
147E5A0306,RT41031,AUTOMOBILE ENGINEERING,17,40,3
147E5A0306,RT41032,CAD / CAM,18,4,0
147E5A0306,RT41033,FINITE ELEMENT METHODS,11,0,0
147E5A0306,RT41034,UNCONVENTIONAL MACHINING PROCESSES,20,42,3
147E5A0306,RT41035,MEMS,22,40,3
147E5A0306,RT41039,AUTOMATION IN MANUFACTURING,16,2,0
147E5A0306,RT4103L,SIMULATION LAB,20,43,2
147E5A0306,RT4103M,DESIGN FABRICATION PROJECT,49,0,1
14PA1A0262,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,24,24,3
14PA1A0262,RT41022,HVAC AND DC TRANSMISSION,26,0,0
14PA1A0262,RT41023,POWER SYSTEM OPERATION AND CONTROL,24,13,0
14PA1A0262,RT41025,INSTRUMENTATION,15,25,3
14PA1A0262,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,6,0
14PA1A0262,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,25,46,2
14PA1A0262,RT4102M,ELECTRICAL SIMULATION LAB,12,45,2
14PA1A0262,RT4102N,POWER SYSTEMS LAB,23,42,2
15541A0201,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,28,42,3
15541A0201,RT41022,HVAC AND DC TRANSMISSION,26,56,3
15541A0201,RT41023,POWER SYSTEM OPERATION AND CONTROL,30,65,3
15541A0201,RT41025,INSTRUMENTATION,23,42,3
15541A0201,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,26,36,3
15541A0201,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0201,RT4102M,ELECTRICAL SIMULATION LAB,22,47,2
15541A0201,RT4102N,POWER SYSTEMS LAB,24,48,2
15541A0202,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,29,44,3
15541A0202,RT41022,HVAC AND DC TRANSMISSION,27,50,3
15541A0202,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,32,3
15541A0202,RT41025,INSTRUMENTATION,20,33,3
15541A0202,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,37,3
15541A0202,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,21,46,2
15541A0202,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0202,RT4102N,POWER SYSTEMS LAB,24,46,2
15541A0203,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,27,31,3
15541A0203,RT41022,HVAC AND DC TRANSMISSION,24,43,3
15541A0203,RT41023,POWER SYSTEM OPERATION AND CONTROL,26,4,0
15541A0203,RT41025,INSTRUMENTATION,20,45,3
15541A0203,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,45,3
15541A0203,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,23,47,2
15541A0203,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0203,RT4102N,POWER SYSTEMS LAB,24,47,2
15541A0204,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,23,47,3
15541A0204,RT41022,HVAC AND DC TRANSMISSION,25,8,0
15541A0204,RT41023,POWER SYSTEM OPERATION AND CONTROL,25,12,0
15541A0204,RT41025,INSTRUMENTATION,20,37,3
15541A0204,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,31,3
15541A0204,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,49,2
15541A0204,RT4102M,ELECTRICAL SIMULATION LAB,23,47,2
15541A0204,RT4102N,POWER SYSTEMS LAB,24,49,2
15541A0205,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,28,29,3
15541A0205,RT41022,HVAC AND DC TRANSMISSION,25,37,3
15541A0205,RT41023,POWER SYSTEM OPERATION AND CONTROL,29,45,3
15541A0205,RT41025,INSTRUMENTATION,21,31,3
15541A0205,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,25,43,3
15541A0205,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,47,2
15541A0205,RT4102M,ELECTRICAL SIMULATION LAB,23,45,2
15541A0205,RT4102N,POWER SYSTEMS LAB,24,47,2
15541A0206,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,28,45,3
15541A0206,RT41022,HVAC AND DC TRANSMISSION,25,46,3
15541A0206,RT41023,POWER SYSTEM OPERATION AND CONTROL,27,26,3
15541A0206,RT41025,INSTRUMENTATION,21,30,3
15541A0206,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,27,3
15541A0206,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,49,2
15541A0206,RT4102M,ELECTRICAL SIMULATION LAB,23,46,2
15541A0206,RT4102N,POWER SYSTEMS LAB,24,46,2
15541A0207,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,24,39,3
15541A0207,RT41022,HVAC AND DC TRANSMISSION,27,44,3
15541A0207,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,24,3
15541A0207,RT41025,INSTRUMENTATION,22,52,3
15541A0207,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,25,53,3
15541A0207,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0207,RT4102M,ELECTRICAL SIMULATION LAB,23,46,2
15541A0207,RT4102N,POWER SYSTEMS LAB,24,49,2
15541A0208,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,24,-1,0
15541A0208,RT41022,HVAC AND DC TRANSMISSION,22,-1,0
15541A0208,RT41023,POWER SYSTEM OPERATION AND CONTROL,24,-1,0
15541A0208,RT41025,INSTRUMENTATION,12,-1,0
15541A0208,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,-1,0
15541A0208,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,15,-1,0
15541A0208,RT4102M,ELECTRICAL SIMULATION LAB,12,-1,0
15541A0208,RT4102N,POWER SYSTEMS LAB,12,-1,0
15541A0209,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,25,30,3
15541A0209,RT41022,HVAC AND DC TRANSMISSION,25,36,3
15541A0209,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,40,3
15541A0209,RT41025,INSTRUMENTATION,24,40,3
15541A0209,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,23,50,3
15541A0209,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0209,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0209,RT4102N,POWER SYSTEMS LAB,24,45,2
15541A0210,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,47,3
15541A0210,RT41022,HVAC AND DC TRANSMISSION,26,58,3
15541A0210,RT41023,POWER SYSTEM OPERATION AND CONTROL,27,39,3
15541A0210,RT41025,INSTRUMENTATION,20,17,0
15541A0210,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,39,3
15541A0210,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,48,2
15541A0210,RT4102M,ELECTRICAL SIMULATION LAB,22,46,2
15541A0210,RT4102N,POWER SYSTEMS LAB,24,49,2
15541A0211,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,45,3
15541A0211,RT41022,HVAC AND DC TRANSMISSION,27,38,3
15541A0211,RT41023,POWER SYSTEM OPERATION AND CONTROL,28,28,3
15541A0211,RT41025,INSTRUMENTATION,24,38,3
15541A0211,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,51,3
15541A0211,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,47,2
15541A0211,RT4102M,ELECTRICAL SIMULATION LAB,22,47,2
15541A0211,RT4102N,POWER SYSTEMS LAB,23,48,2
15541A0212,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,28,43,3
15541A0212,RT41022,HVAC AND DC TRANSMISSION,26,15,0
15541A0212,RT41023,POWER SYSTEM OPERATION AND CONTROL,25,33,3
15541A0212,RT41025,INSTRUMENTATION,17,30,3
15541A0212,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,46,3
15541A0212,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,49,2
15541A0212,RT4102M,ELECTRICAL SIMULATION LAB,23,48,2
15541A0212,RT4102N,POWER SYSTEMS LAB,24,46,2
15541A0213,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,29,41,3
15541A0213,RT41022,HVAC AND DC TRANSMISSION,28,60,3
15541A0213,RT41023,POWER SYSTEM OPERATION AND CONTROL,29,42,3
15541A0213,RT41025,INSTRUMENTATION,25,43,3
15541A0213,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,28,56,3
15541A0213,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,23,48,2
15541A0213,RT4102M,ELECTRICAL SIMULATION LAB,24,49,2
15541A0213,RT4102N,POWER SYSTEMS LAB,24,48,2
15541A0214,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,40,3
15541A0214,RT41022,HVAC AND DC TRANSMISSION,27,63,3
15541A0214,RT41023,POWER SYSTEM OPERATION AND CONTROL,26,32,3
15541A0214,RT41025,INSTRUMENTATION,23,37,3
15541A0214,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,26,33,3
15541A0214,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,49,2
15541A0214,RT4102M,ELECTRICAL SIMULATION LAB,25,46,2
15541A0214,RT4102N,POWER SYSTEMS LAB,24,47,2
15541A0217,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,29,51,3
15541A0217,RT41022,HVAC AND DC TRANSMISSION,28,49,3
15541A0217,RT41023,POWER SYSTEM OPERATION AND CONTROL,30,56,3
15541A0217,RT41025,INSTRUMENTATION,26,46,3
15541A0217,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,55,3
15541A0217,RT4102L,MICROPROCESSORS AND MICROCONTROLLERS LAB,24,47,2
15541A0217,RT4102M,ELECTRICAL SIMULATION LAB,24,48,2
15541A0217,RT4102N,POWER SYSTEMS LAB,24,48,2
15541A0218,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,26,45,3
