13545A0501,R41051,CRYPTOGRAPHY AND NETWORK SECURITY,17,32,4
13545A0501,R41052,UML & DESIGN PATTERNS,17,56,4
13545A0501,R41053,DATA WARE HOUSING AND DATA MINING,17,39,4
13545A0501,R41054,MOBILE COMPUTING,16,34,4
13545A0501,R41057,OPEN SOURCE SOFTWARE,22,39,4
13545A0501,R4105A,CLOUD COMPUTING,17,36,4
13545A0501,R4105E,UML & DESIGN PATTERNS LAB,24,48,2
13545A0501,R4105F,MOBILE APPLICATION DEVELOPMENT LAB,23,47,2
13545A0415,R41026,INSTRUMENTATION,20,4,0
13545A0415,R41041,OPTICAL COMMUNICATIONS,24,36,4
13545A0415,R41042,EMBEDDED SYSTEMS,23,38,4
13545A0415,R41043,DIGITAL IMAGE PROCESSING,20,43,4
13545A0415,R41044,RADAR SYSTEMS,24,42,4
13545A0415,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,22,38,4
13545A0415,R4104B,DIGITAL SIGNAL PROCESSING LAB,23,47,2
13545A0415,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,23,48,2
13545A0414,R41026,INSTRUMENTATION,21,31,4
13545A0414,R41041,OPTICAL COMMUNICATIONS,15,18,0
13545A0414,R41042,EMBEDDED SYSTEMS,23,33,4
13545A0414,R41043,DIGITAL IMAGE PROCESSING,15,16,0
13545A0414,R41044,RADAR SYSTEMS,18,43,4
13545A0414,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,15,30,4
13545A0414,R4104B,DIGITAL SIGNAL PROCESSING LAB,22,48,2
13545A0414,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,23,46,2
13545A0413,R41026,INSTRUMENTATION,24,52,4
13545A0413,R41041,OPTICAL COMMUNICATIONS,21,47,4
13545A0413,R41042,EMBEDDED SYSTEMS,17,48,4
13545A0413,R41043,DIGITAL IMAGE PROCESSING,19,10,0
13545A0413,R41044,RADAR SYSTEMS,18,36,4
13545A0413,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,19,53,4
13545A0413,R4104B,DIGITAL SIGNAL PROCESSING LAB,24,50,2
13545A0413,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,25,50,2
13545A0412,R41026,INSTRUMENTATION,22,31,4
13545A0412,R41041,OPTICAL COMMUNICATIONS,21,69,4
13545A0412,R41042,EMBEDDED SYSTEMS,22,47,4
13545A0412,R41043,DIGITAL IMAGE PROCESSING,20,26,4
13545A0412,R41044,RADAR SYSTEMS,23,33,4
13545A0412,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,21,48,4
13545A0412,R4104B,DIGITAL SIGNAL PROCESSING LAB,23,49,2
13545A0412,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,24,50,2
13545A0411,R41026,INSTRUMENTATION,23,7,0
13545A0411,R41041,OPTICAL COMMUNICATIONS,21,32,4
13545A0411,R41042,EMBEDDED SYSTEMS,18,16,0
13545A0411,R41043,DIGITAL IMAGE PROCESSING,16,12,0
13545A0411,R41044,RADAR SYSTEMS,21,18,0
13545A0411,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,15,26,4
13545A0411,R4104B,DIGITAL SIGNAL PROCESSING LAB,21,46,2
13545A0411,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,21,46,2
13545A0410,R41026,INSTRUMENTATION,21,50,4
13545A0410,R41041,OPTICAL COMMUNICATIONS,19,36,4
13545A0410,R41042,EMBEDDED SYSTEMS,22,31,4
13545A0410,R41043,DIGITAL IMAGE PROCESSING,20,37,4
13545A0410,R41044,RADAR SYSTEMS,21,61,4
13545A0410,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,17,35,4
13545A0410,R4104B,DIGITAL SIGNAL PROCESSING LAB,24,48,2
13545A0410,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,22,47,2
13545A0409,R41026,INSTRUMENTATION,19,54,4
13545A0409,R41041,OPTICAL COMMUNICATIONS,21,34,4
13545A0409,R41042,EMBEDDED SYSTEMS,20,30,4
13545A0409,R41043,DIGITAL IMAGE PROCESSING,19,26,4
13545A0409,R41044,RADAR SYSTEMS,21,45,4
13545A0409,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,21,44,4
13545A0409,R4104B,DIGITAL SIGNAL PROCESSING LAB,24,48,2
13545A0409,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,21,46,2
13545A0408,R41026,INSTRUMENTATION,25,33,4
13545A0408,R41041,OPTICAL COMMUNICATIONS,24,74,4
13545A0408,R41042,EMBEDDED SYSTEMS,23,51,4
13545A0408,R41043,DIGITAL IMAGE PROCESSING,22,51,4
13545A0408,R41044,RADAR SYSTEMS,24,51,4
13545A0408,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,25,41,4
13545A0408,R4104B,DIGITAL SIGNAL PROCESSING LAB,25,50,2
13545A0408,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,25,50,2
13545A0407,R41026,INSTRUMENTATION,19,26,4
13545A0407,R41041,OPTICAL COMMUNICATIONS,20,43,4
13545A0407,R41042,EMBEDDED SYSTEMS,23,41,4
13545A0407,R41043,DIGITAL IMAGE PROCESSING,20,27,4
13545A0407,R41044,RADAR SYSTEMS,19,29,4
13545A0407,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,21,31,4
13545A0407,R4104B,DIGITAL SIGNAL PROCESSING LAB,23,49,2
13545A0407,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,24,49,2
13545A0406,R41026,INSTRUMENTATION,21,41,4
13545A0406,R41041,OPTICAL COMMUNICATIONS,22,53,4
13545A0406,R41042,EMBEDDED SYSTEMS,22,50,4
13545A0406,R41043,DIGITAL IMAGE PROCESSING,17,40,4
13545A0406,R41044,RADAR SYSTEMS,21,65,4
13545A0406,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,20,39,4
13545A0406,R4104B,DIGITAL SIGNAL PROCESSING LAB,23,48,2
13545A0406,R4104C,MICROWAVE AND OPTICAL COMMUNICATIONS LAB,20,48,2
13545A0405,R41026,INSTRUMENTATION,24,47,4
13545A0405,R41041,OPTICAL COMMUNICATIONS,21,48,4
13545A0405,R41042,EMBEDDED SYSTEMS,23,43,4
13545A0405,R41043,DIGITAL IMAGE PROCESSING,21,26,4
13545A0405,R41044,RADAR SYSTEMS,25,50,4
