06U91A0460,M0421,Electronic Measurements & Instrumentation,2,7,0
06U91A0460,N0421,Computer Networks,7,-1,0
08541A0218,M0221,Power Semiconductor Drives,15,3,0
08541A0234,M0222,Power System Analysis,11,-1,0
09541A0253,M0222,Power System Analysis,13,-1,0
09541A0253,M0224,HVDC Transmission,10,-1,0
09541A0322,M0322,Finite Element Methods,12,-1,0
10541A0208,R41021,COMPUTER ORGANIZATION,22,38,4
10541A0208,R41026,INSTRUMENTATION,22,3,0
10541A0228,R4102A,ELECTRICAL DISTRIBUTION SYSTEMS,12,48,4
10541A0244,R41026,INSTRUMENTATION,13,7,0
10541A0420,R41026,INSTRUMENTATION,17,-1,0
10541A0420,R41041,OPTICAL COMMUNICATIONS,14,1,0
10541A0420,R41042,EMBEDDED SYSTEMS,18,6,0
10541A0420,R41043,DIGITAL IMAGE PROCESSING,10,-1,0
10541A0420,R41044,RADAR SYSTEMS,11,-1,0
10541A0420,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,13,-1,0
10541A0448,R41043,DIGITAL IMAGE PROCESSING,14,7,0
10545A0404,M0422,Radar Systems,14,-1,0
10545A0404,N0421,Computer Networks,16,-1,0
10545A0404,N0422,Cellular and Mobile Communications,10,-1,0
11481A05D3,R41051,CRYPTOGRAPHY AND NETWORK SECURITY,15,10,0
11541A0212,R41022,HIGH VOLTAGE ENGINEERING,14,11,0
11541A0212,R41024,POWER SYSTEM OPERATION & CONTROL,18,19,0
11541A0317,R41035,MEMS,11,4,0
11541A0321,R41031,REFRIGERATION & AIR CONDITIONING,17,5,0
11541A0321,R41037,AUTOMOBILE ENGINEERING,23,40,4
11541A0322,R41033,ALTERNATIVE SOURCES OF ENERGY,17,13,0
11541A0322,R41035,MEMS,7,11,0
11541A0365,R41031,REFRIGERATION & AIR CONDITIONING,5,-1,0
11541A0417,R41026,INSTRUMENTATION,21,15,0
11541A0417,R41043,DIGITAL IMAGE PROCESSING,20,34,4
11541A0427,R41044,RADAR SYSTEMS,14,10,0
11541A0434,R41041,OPTICAL COMMUNICATIONS,16,17,0
11541A0518,R41051,CRYPTOGRAPHY AND NETWORK SECURITY,21,11,0
12541A0201,R41022,HIGH VOLTAGE ENGINEERING,24,20,0
12541A0202,R41024,POWER SYSTEM OPERATION & CONTROL,24,34,4
12541A0204,R41021,COMPUTER ORGANIZATION,14,18,0
12541A0204,R41024,POWER SYSTEM OPERATION & CONTROL,10,31,4
12541A0204,R41026,INSTRUMENTATION,16,0,0
12541A0205,R41022,HIGH VOLTAGE ENGINEERING,21,26,4
12541A0205,R41024,POWER SYSTEM OPERATION & CONTROL,13,21,0
12541A0304,R41031,REFRIGERATION & AIR CONDITIONING,16,17,0
12541A0304,R41033,ALTERNATIVE SOURCES OF ENERGY,21,-1,0
12541A0304,R41034,UNCONVENTIONAL MACHINING PROCESSES,22,6,0
12541A0304,R41035,MEMS,16,17,0
12541A0309,R41031,REFRIGERATION & AIR CONDITIONING,14,41,4
12541A0310,R41031,REFRIGERATION & AIR CONDITIONING,15,42,4
12541A0310,R41035,MEMS,20,36,4
12541A0311,R41031,REFRIGERATION & AIR CONDITIONING,15,40,4
12541A0317,R41033,ALTERNATIVE SOURCES OF ENERGY,22,33,4
12541A0318,R41031,REFRIGERATION & AIR CONDITIONING,11,33,4
12541A0318,R41035,MEMS,19,35,4
12541A0319,R41031,REFRIGERATION & AIR CONDITIONING,17,13,0
12541A0322,R41034,UNCONVENTIONAL MACHINING PROCESSES,23,38,4
12541A0405,R41041,OPTICAL COMMUNICATIONS,14,15,0
12541A0405,R41043,DIGITAL IMAGE PROCESSING,14,7,0
12541A0405,R41045,TELECOMMUNICATION SWITCHING SYSTEMS,19,33,4
12541A0408,R41043,DIGITAL IMAGE PROCESSING,15,31,4
12541A0410,R41041,OPTICAL COMMUNICATIONS,16,26,4
12541A0410,R41042,EMBEDDED SYSTEMS,16,4,0
12541A0410,R41043,DIGITAL IMAGE PROCESSING,14,17,0
