09541A0253,M0222,POWER SYSTEM ANALYSIS,13,6,0
09541A0253,M0224,HVDC TRANSMISSION,10,0,0
10541A0208,R41026,INSTRUMENTATION,22,8,0
10541A0244,R41026,INSTRUMENTATION,13,30,4
10541A0448,R41043,DIGITAL IMAGE PROCESSING,14,7,0
11541A0212,R41022,HIGH VOLTAGE ENGINEERING,14,3,0
11541A0212,R41024,POWER SYSTEM OPERATION & CONTROL,18,18,0
11541A0317,R41035,MEMS,11,-1,0
11541A0377,RT41033,FINITE ELEMENT METHODS,16,8,0
12541A0204,R41021,COMPUTER ORGANIZATION,14,-1,0
12541A0204,R41026,INSTRUMENTATION,16,30,4
12541A0306,RT41033,FINITE ELEMENT METHODS,18,9,0
12541A0405,R41043,DIGITAL IMAGE PROCESSING,14,10,0
12541A0406,RT41048,RADAR SYSTEMS,25,39,3
12541A0418,R41026,INSTRUMENTATION,18,17,0
12541A0418,R41041,OPTICAL COMMUNICATIONS,17,-1,0
12541A0418,R41042,EMBEDDED SYSTEMS,13,31,4
12541A0418,R41043,DIGITAL IMAGE PROCESSING,14,0,0
12541A0426,R41026,INSTRUMENTATION,22,37,4
12541A0426,R41042,EMBEDDED SYSTEMS,22,8,0
13541A0201,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,24,35,3
13541A0305,RT41033,FINITE ELEMENT METHODS,17,30,3
13541A0307,RT41033,FINITE ELEMENT METHODS,19,14,0
13541A0310,RT41033,FINITE ELEMENT METHODS,19,3,0
13541A0311,RT41033,FINITE ELEMENT METHODS,17,14,0
13541A0313,RT41033,FINITE ELEMENT METHODS,20,14,0
13541A0315,RT41033,FINITE ELEMENT METHODS,16,7,0
13541A0315,RT41039,AUTOMATION IN MANUFACTURING,21,18,0
13541A0317,RT41031,AUTOMOBILE ENGINEERING,20,2,0
13541A0319,RT41033,FINITE ELEMENT METHODS,17,12,0
13541A0320,RT41034,UNCONVENTIONAL MACHINING PROCESSES,21,36,3
13541A0321,RT41031,AUTOMOBILE ENGINEERING,22,6,0
13541A0321,RT41032,CAD / CAM,22,12,0
13541A0321,RT41033,FINITE ELEMENT METHODS,17,9,0
13541A0322,RT41031,AUTOMOBILE ENGINEERING,21,3,0
13541A0322,RT41033,FINITE ELEMENT METHODS,19,0,0
13541A0324,RT41033,FINITE ELEMENT METHODS,23,12,0
13541A0329,RT41032,CAD / CAM,20,2,0
13541A0329,RT41033,FINITE ELEMENT METHODS,17,1,0
13541A0329,RT41034,UNCONVENTIONAL MACHINING PROCESSES,19,4,0
13541A0329,RT41035,MEMS,16,24,3
13541A0329,RT41039,AUTOMATION IN MANUFACTURING,20,24,3
13541A0332,RT41033,FINITE ELEMENT METHODS,17,4,0
13541A0333,RT41033,FINITE ELEMENT METHODS,16,7,0
13541A0334,RT41031,AUTOMOBILE ENGINEERING,15,1,0
13541A0334,RT41032,CAD / CAM,20,15,0
13541A0334,RT41033,FINITE ELEMENT METHODS,19,5,0
13541A0338,RT41033,FINITE ELEMENT METHODS,19,11,0
13541A0338,RT41034,UNCONVENTIONAL MACHINING PROCESSES,21,38,3
13541A0339,RT41033,FINITE ELEMENT METHODS,22,1,0
13541A0340,RT41032,CAD / CAM,17,0,0
13541A0340,RT41033,FINITE ELEMENT METHODS,16,0,0
13541A0340,RT41034,UNCONVENTIONAL MACHINING PROCESSES,19,1,0
13541A0410,RT41048,RADAR SYSTEMS,19,39,3
13541A0421,RT4104A,OPTICAL COMMUNICATION,20,17,0
13541A0423,RT41048,RADAR SYSTEMS,19,35,3
13541A0424,RT41043,DIGITAL IMAGE PROCESSING,20,16,0
13541A0426,RT41041,VLSI DESIGN,24,24,3
13541A0430,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,19,32,3
13541A0436,RT41043,DIGITAL IMAGE PROCESSING,19,6,0
13541A0436,RT41048,RADAR SYSTEMS,22,28,3
13545A0403,R41026,INSTRUMENTATION,22,30,4
13545A0403,R41044,RADAR SYSTEMS,18,30,4
13545A0411,R41026,INSTRUMENTATION,23,32,4
13545A0411,R41043,DIGITAL IMAGE PROCESSING,16,10,0
13545A0411,R41044,RADAR SYSTEMS,21,36,4
14545A0202,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,16,-1,0
14545A0202,RT41023,POWER SYSTEM OPERATION AND CONTROL,23,-1,0
14545A0202,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,16,-1,0
14545A0204,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,16,24,3
14545A0204,RT41022,HVAC AND DC TRANSMISSION,16,28,3
14545A0204,RT41023,POWER SYSTEM OPERATION AND CONTROL,20,17,0
14545A0204,RT41025,INSTRUMENTATION,17,24,3
14545A0204,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,16,9,0
14545A0205,RT41022,HVAC AND DC TRANSMISSION,17,37,3
14545A0205,RT41023,POWER SYSTEM OPERATION AND CONTROL,24,25,3
14545A0209,RT41023,POWER SYSTEM OPERATION AND CONTROL,21,24,3
14545A0209,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,19,33,3
14545A0210,RT41023,POWER SYSTEM OPERATION AND CONTROL,24,17,0
14545A0211,RT41021,RENEWABLE ENERGY SOURCES AND SYSTEMS,16,17,0
14545A0211,RT41022,HVAC AND DC TRANSMISSION,16,-1,0
14545A0211,RT41023,POWER SYSTEM OPERATION AND CONTROL,20,7,0
14545A0211,RT41025,INSTRUMENTATION,18,31,3
14545A0211,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,18,7,0
14545A0215,RT41022,HVAC AND DC TRANSMISSION,19,32,3
14545A0215,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,27,3,0
14545A0302,RT41034,UNCONVENTIONAL MACHINING PROCESSES,24,30,3
14545A0304,RT41033,FINITE ELEMENT METHODS,18,10,0
14545A0305,RT41033,FINITE ELEMENT METHODS,16,2,0
14545A0307,RT41033,FINITE ELEMENT METHODS,16,6,0
14545A0309,RT41035,MEMS,23,38,3
14545A0401,RT41041,VLSI DESIGN,22,12,0
14545A0401,RT41043,DIGITAL IMAGE PROCESSING,18,8,0
14545A0401,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,32,3
14545A0401,RT4104A,OPTICAL COMMUNICATION,23,4,0
14545A0404,RT41048,RADAR SYSTEMS,20,24,3
14545A0406,RT41041,VLSI DESIGN,18,10,0
14545A0406,RT41042,COMPUTER NETWORKS,16,2,0
14545A0406,RT41043,DIGITAL IMAGE PROCESSING,16,6,0
14545A0406,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,7,25,0
14545A0406,RT41048,RADAR SYSTEMS,14,24,0
14545A0406,RT4104A,OPTICAL COMMUNICATION,22,3,0
14545A0406,RT4104L,V L S I LAB,24,46,2
14545A0407,RT41041,VLSI DESIGN,17,0,0
14545A0407,RT41043,DIGITAL IMAGE PROCESSING,18,7,0
14545A0407,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,18,24,3
14545A0407,RT41048,RADAR SYSTEMS,18,24,3
14545A0407,RT4104A,OPTICAL COMMUNICATION,19,3,0
14545A0407,RT4104L,V L S I LAB,22,43,2
14545A0407,RT4104M,MICROWAVE ENGINEERING LAB,15,45,2
14545A0409,RT41043,DIGITAL IMAGE PROCESSING,19,5,0
14545A0409,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,30,3
14545A0409,RT41048,RADAR SYSTEMS,17,24,3
14545A0409,RT4104A,OPTICAL COMMUNICATION,18,0,0
14545A0409,RT4104L,V L S I LAB,22,-1,0
14545A0409,RT4104M,MICROWAVE ENGINEERING LAB,15,-1,0
14545A0410,RT41042,COMPUTER NETWORKS,16,5,0
14545A0410,RT4104L,V L S I LAB,22,44,2
14545A0410,RT4104M,MICROWAVE ENGINEERING LAB,15,44,2
14545A0412,RT41042,COMPUTER NETWORKS,16,1,0
14545A0412,RT41043,DIGITAL IMAGE PROCESSING,18,8,0
14545A0412,RT41048,RADAR SYSTEMS,20,24,3
14545A0412,RT4104L,V L S I LAB,22,43,2
14545A0412,RT4104M,MICROWAVE ENGINEERING LAB,15,43,2
14545A0413,RT41043,DIGITAL IMAGE PROCESSING,25,10,0
14545A0414,RT41043,DIGITAL IMAGE PROCESSING,19,6,0
14545A0414,RT4104A,OPTICAL COMMUNICATION,20,10,0
14545A0415,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,9,33,3
14545A0415,RT4104A,OPTICAL COMMUNICATION,18,4,0
14545A0415,RT4104L,V L S I LAB,22,46,2
14545A0416,RT41043,DIGITAL IMAGE PROCESSING,17,7,0
14545A0416,RT41048,RADAR SYSTEMS,18,32,3
14545A0416,RT4104L,V L S I LAB,22,43,2
14545A0416,RT4104M,MICROWAVE ENGINEERING LAB,15,44,2
14545A0417,RT4104A,OPTICAL COMMUNICATION,23,8,0
14545A0501,RT41054,SOFTWARE TESTING METHODOLOGIES,15,33,3
