11481A05D3,R41051,CRYPTOGRAPHY AND NETWORK SECURITY,15,33,4
11541A0212,R41022,HIGH VOLTAGE ENGINEERING,14,6,0
11541A0212,R41024,POWER SYSTEM OPERATION & CONTROL,18,20,0
11541A0365,R41031,REFRIGERATION & AIR CONDITIONING,5,-1,0
11541A0423,R41026,INSTRUMENTATION,23,-1,0
12541A0205,R41024,POWER SYSTEM OPERATION & CONTROL,13,-1,0
12541A0306,RT41033,FINITE ELEMENT METHODS,18,18,0
12541A0405,R41043,DIGITAL IMAGE PROCESSING,14,-1,0
13541A0310,RT41033,FINITE ELEMENT METHODS,19,19,0
13541A0315,RT41033,FINITE ELEMENT METHODS,16,10,0
13541A0317,RT41031,AUTOMOBILE ENGINEERING,20,9,0
13541A0319,RT41033,FINITE ELEMENT METHODS,17,22,0
13541A0333,RT41033,FINITE ELEMENT METHODS,16,18,0
13541A0339,RT41033,FINITE ELEMENT METHODS,22,35,3
13541A0436,RT41043,DIGITAL IMAGE PROCESSING,19,8,0
14541A0203,RT41025,INSTRUMENTATION,24,38,3
14541A0210,RT41022,HVAC AND DC TRANSMISSION,23,41,3
14541A0210,RT41025,INSTRUMENTATION,20,34,3
14541A0214,RT41029,ELECTRICAL DISTRIBUTION SYSTEMS,16,28,3
14541A0222,RT41022,HVAC AND DC TRANSMISSION,25,38,3
14541A0235,RT41022,HVAC AND DC TRANSMISSION,24,33,3
14541A0301,RT41033,FINITE ELEMENT METHODS,24,51,3
14541A0303,RT41033,FINITE ELEMENT METHODS,22,12,0
14541A0304,RT41031,AUTOMOBILE ENGINEERING,17,28,3
14541A0304,RT41034,UNCONVENTIONAL MACHINING PROCESSES,19,35,3
14541A0305,RT41033,FINITE ELEMENT METHODS,23,9,0
14541A0309,RT41033,FINITE ELEMENT METHODS,22,11,0
14541A0311,RT41033,FINITE ELEMENT METHODS,21,12,0
14541A0316,RT41033,FINITE ELEMENT METHODS,22,17,0
14541A0317,RT41033,FINITE ELEMENT METHODS,14,22,0
14541A0317,RT41035,MEMS,21,0,0
14541A0318,RT41033,FINITE ELEMENT METHODS,20,38,3
14541A0324,RT41033,FINITE ELEMENT METHODS,24,43,3
14541A0324,RT41035,MEMS,24,37,3
14541A0325,RT41032,CAD / CAM,26,25,3
14541A0326,RT41033,FINITE ELEMENT METHODS,18,10,0
14541A0326,RT41035,MEMS,21,25,3
14541A0328,RT41033,FINITE ELEMENT METHODS,18,9,0
14541A0331,RT41033,FINITE ELEMENT METHODS,23,24,3
14541A0331,RT41035,MEMS,21,39,3
14541A0333,RT41031,AUTOMOBILE ENGINEERING,17,20,0
14541A0333,RT41033,FINITE ELEMENT METHODS,20,24,3
14541A0333,RT41034,UNCONVENTIONAL MACHINING PROCESSES,20,42,3
14541A0333,RT41035,MEMS,22,27,3
14541A0335,RT41033,FINITE ELEMENT METHODS,21,28,3
14541A0342,RT41033,FINITE ELEMENT METHODS,21,28,3
14541A0342,RT41034,UNCONVENTIONAL MACHINING PROCESSES,20,35,3
14541A0342,RT41035,MEMS,22,24,3
14541A0343,RT41032,CAD / CAM,27,28,3
14541A0343,RT41033,FINITE ELEMENT METHODS,23,9,0
14541A0344,RT41033,FINITE ELEMENT METHODS,22,8,0
14541A0346,RT41032,CAD / CAM,16,18,0
14541A0346,RT41033,FINITE ELEMENT METHODS,9,6,0
14541A0346,RT41034,UNCONVENTIONAL MACHINING PROCESSES,19,35,3
14541A0347,RT41032,CAD / CAM,21,10,0
14541A0347,RT41033,FINITE ELEMENT METHODS,19,11,0
14541A0348,RT41033,FINITE ELEMENT METHODS,20,28,3
14541A0349,RT41032,CAD / CAM,24,5,0
14541A0349,RT41033,FINITE ELEMENT METHODS,21,10,0
14541A0349,RT41034,UNCONVENTIONAL MACHINING PROCESSES,15,24,0
14541A0349,RT41035,MEMS,25,5,0
14541A0350,RT41033,FINITE ELEMENT METHODS,19,38,3
14541A0350,RT41034,UNCONVENTIONAL MACHINING PROCESSES,25,33,3
14541A0352,RT41039,AUTOMATION IN MANUFACTURING,23,37,3
14541A0353,RT41032,CAD / CAM,26,12,0
14541A0354,RT41033,FINITE ELEMENT METHODS,20,39,3
14541A0354,RT41035,MEMS,24,45,3
14541A0359,RT41032,CAD / CAM,21,12,0
14541A0359,RT41033,FINITE ELEMENT METHODS,17,12,0
14541A0359,RT41034,UNCONVENTIONAL MACHINING PROCESSES,21,31,3
14541A0360,RT41032,CAD / CAM,26,25,3
14541A0360,RT41033,FINITE ELEMENT METHODS,22,24,3
14541A0361,RT41031,AUTOMOBILE ENGINEERING,13,13,0
14541A0361,RT41033,FINITE ELEMENT METHODS,19,9,0
14541A0361,RT41034,UNCONVENTIONAL MACHINING PROCESSES,17,11,0
14541A0361,RT41035,MEMS,20,30,3
14541A0361,RT41039,AUTOMATION IN MANUFACTURING,16,9,0
14541A0363,RT41032,CAD / CAM,20,24,3
14541A0363,RT41033,FINITE ELEMENT METHODS,19,24,3
14541A0363,RT41034,UNCONVENTIONAL MACHINING PROCESSES,20,31,3
14541A0363,RT41035,MEMS,21,35,3
14541A0364,RT41032,CAD / CAM,13,25,0
14541A0364,RT41033,FINITE ELEMENT METHODS,17,20,0
14541A0365,RT41033,FINITE ELEMENT METHODS,24,7,0
14541A0366,RT41033,FINITE ELEMENT METHODS,21,28,3
14541A0369,RT41032,CAD / CAM,19,27,3
14541A0370,RT41031,AUTOMOBILE ENGINEERING,15,15,0
14541A0370,RT41033,FINITE ELEMENT METHODS,16,20,0
14541A0370,RT41039,AUTOMATION IN MANUFACTURING,18,14,0
14541A0374,RT41033,FINITE ELEMENT METHODS,24,18,0
14541A0375,RT41033,FINITE ELEMENT METHODS,21,16,0
14541A0378,RT41031,AUTOMOBILE ENGINEERING,20,11,0
14541A0378,RT41033,FINITE ELEMENT METHODS,17,6,0
14541A0379,RT41031,AUTOMOBILE ENGINEERING,17,9,0
14541A0379,RT41033,FINITE ELEMENT METHODS,22,30,3
14541A0379,RT41035,MEMS,21,13,0
14541A0379,RT41039,AUTOMATION IN MANUFACTURING,18,15,0
14541A0382,RT41032,CAD / CAM,26,8,0
14541A0382,RT41033,FINITE ELEMENT METHODS,17,18,0
14541A0382,RT41035,MEMS,22,-1,0
14541A0383,RT41032,CAD / CAM,22,6,0
14541A0383,RT41033,FINITE ELEMENT METHODS,17,8,0
14541A0383,RT41034,UNCONVENTIONAL MACHINING PROCESSES,18,38,3
14541A0385,RT41033,FINITE ELEMENT METHODS,26,29,3
14541A0386,RT41032,CAD / CAM,22,11,0
14541A0387,RT41033,FINITE ELEMENT METHODS,17,10,0
14541A0387,RT41034,UNCONVENTIONAL MACHINING PROCESSES,19,37,3
14541A0388,RT41033,FINITE ELEMENT METHODS,23,31,3
14541A0389,RT41033,FINITE ELEMENT METHODS,21,29,3
14541A0391,RT41033,FINITE ELEMENT METHODS,20,30,3
14541A0394,RT41033,FINITE ELEMENT METHODS,20,20,0
14541A0401,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,16,19,0
14541A0401,RT41048,RADAR SYSTEMS,21,39,3
14541A0401,RT4104A,OPTICAL COMMUNICATION,21,20,0
14541A0403,RT41042,COMPUTER NETWORKS,24,22,0
14541A0405,RT41041,VLSI DESIGN,19,24,3
14541A0405,RT41043,DIGITAL IMAGE PROCESSING,24,17,0
14541A0405,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,5,12,0
14541A0405,RT41048,RADAR SYSTEMS,12,24,0
14541A0409,RT41042,COMPUTER NETWORKS,25,31,3
14541A0412,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,29,3
14541A0416,RT41041,VLSI DESIGN,28,32,3
14541A0416,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,18,21,0
14541A0417,RT41048,RADAR SYSTEMS,25,27,3
14541A0420,RT41048,RADAR SYSTEMS,27,47,3
14541A0420,RT4104A,OPTICAL COMMUNICATION,22,25,3
14541A0421,RT41048,RADAR SYSTEMS,25,46,3
14541A0425,RT41041,VLSI DESIGN,25,37,3
14541A0425,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,16,20,0
14541A0429,RT41043,DIGITAL IMAGE PROCESSING,27,28,3
14541A0429,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,11,0
14541A0429,RT41048,RADAR SYSTEMS,24,20,0
14541A0433,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,17,0
14541A0433,RT41048,RADAR SYSTEMS,24,32,3
14541A0433,RT4104A,OPTICAL COMMUNICATION,12,28,3
14541A0434,RT41042,COMPUTER NETWORKS,23,16,0
14541A0434,RT41048,RADAR SYSTEMS,23,33,3
14541A0435,RT41041,VLSI DESIGN,19,17,0
14541A0435,RT41042,COMPUTER NETWORKS,18,16,0
14541A0435,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,18,0
14541A0437,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,19,17,0
14541A0438,RT41042,COMPUTER NETWORKS,22,17,0
14541A0442,RT41041,VLSI DESIGN,19,39,3
14541A0446,RT41041,VLSI DESIGN,23,37,3
14541A0446,RT41048,RADAR SYSTEMS,25,44,3
14541A0447,RT41041,VLSI DESIGN,17,24,3
14541A0447,RT41042,COMPUTER NETWORKS,18,9,0
14541A0447,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,17,12,0
14541A0447,RT41048,RADAR SYSTEMS,10,16,0
14541A0447,RT4104A,OPTICAL COMMUNICATION,12,6,0
14541A0449,RT41042,COMPUTER NETWORKS,22,44,3
14541A0456,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,16,24,3
14541A0456,RT41048,RADAR SYSTEMS,23,30,3
14541A0459,RT41048,RADAR SYSTEMS,21,28,3
14541A0462,RT41044,COMPUTER ARCHITECTURE AND ORGANIZATION,20,28,3
14541A0462,RT41048,RADAR SYSTEMS,21,41,3
14541A0463,RT41043,DIGITAL IMAGE PROCESSING,19,28,3
14541A0466,RT41041,VLSI DESIGN,25,28,3
14541A0466,RT41043,DIGITAL IMAGE PROCESSING,18,19,0
14541A0466,RT4104A,OPTICAL COMMUNICATION,23,12,0
