14541A0310,RT42034A,NON DESTRUCTIVE EVALUATION,---,No Change,---
14541A0351,RT42032,GREEN ENGINEERING SYSTEMS,---,No Change,---
14541A0374,RT42034A,NON DESTRUCTIVE EVALUATION,---,No Change,---
14541A0391,RT42034A,NON DESTRUCTIVE EVALUATION,---,No Change,---
14541A0414,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0418,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0422,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0431,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,26,30,3
14541A0451,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0452,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0454,RT42041,CELLULAR MOBILE COMMUNICATION,---,No Change,---
14541A0455,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0457,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0461,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,24,39,3
14541A0463,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0476,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,23,30,3
14541A0478,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
14541A0478,RT42043C,EMBEDDED SYSTEMS,24,29,3
14545A0412,RT42041,CELLULAR MOBILE COMMUNICATION,---,No Change,---
15545A0215,RT42021,DIGITAL CONTROL SYSTEMS,---,No Change,---
15545A0402,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
15545A0409,RT42043C,EMBEDDED SYSTEMS,---,No Change,---
15545A0414,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
15545A0420,RT42041,CELLULAR MOBILE COMMUNICATION,---,No Change,---
15545A0420,RT42042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,---,No Change,---
15545A0502,RT42051,DISTRIBUTED SYSTEMS,---,No Change,---
15545A0506,RT42051,DISTRIBUTED SYSTEMS,21,26,3
