07541A1214,L0521,MANAGEMENT SCIENCE,14,12,0
08541A0218,K0227,DATABASE MANAGEMENT SYSTEMS,10,18,0
08541A0234,K0223,DIGITAL CONTROL SYSTEMS,6,-1,0
08541A0234,K0227,DATABASE MANAGEMENT SYSTEMS,5,5,0
09541A0322,K0321,PRODUCTION PLANNING AND CONTROL,17,10,0
10541A0233,R42021,DIGITAL CONTROL SYSTEMS,20,3,0
10541A0233,R42024,SPECIAL ELECTRICAL MACHINES,14,4,0
10541A0233,R42025,NON CONVENTIONAL SOURCES OF ENERGY,16,1,0
10541A0233,R4202A,AI TECHNIQUES,24,18,0
10541A0233,R4202B,PROJECT,45,140,12
10541A0244,R42021,DIGITAL CONTROL SYSTEMS,0,43,4
10541A1228,R42121,SOFTWARE PROJECT MANAGEMENT,17,26,4
11481A05D3,R42051,DISTRIBUTED SYSTEMS,17,26,4
11481A05D3,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,16,29,4
11481A05D3,R42059,INFORMATION RETRIEVAL SYSTEMS,11,30,4
11481A05D3,R4205G,E- COMMERCE (COMMON TO CSE & IT),21,32,4
11481A05D3,R4205H,PROJECT,46,146,12
11541A0212,R42024,SPECIAL ELECTRICAL MACHINES,18,48,4
11541A0303,R42031,INTERACTIVE COMPUTER GRAPHICS,0,-1,0
11541A0303,R42034,AUTOMATION IN MANUFACTURING,0,-1,0
11541A0303,R42039,POWER PLANT ENGINEERING,0,-1,0
11541A0303,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,0,-1,0
11541A0303,R4203E,PROJECT WORK,40,-1,0
11541A0321,R42039,POWER PLANT ENGINEERING,18,14,0
11541A0321,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,22,-1,0
11541A0322,R42031,INTERACTIVE COMPUTER GRAPHICS,18,7,0
11541A0322,R42034,AUTOMATION IN MANUFACTURING,10,13,0
11541A0322,R42039,POWER PLANT ENGINEERING,14,11,0
11541A0322,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,7,17,0
11541A0322,R4203E,PROJECT WORK,46,116,12
11541A0417,R42045,OPERATING SYSTEMS,20,27,4
11541A0417,R4204A,TV ENGINEERING,16,9,0
11541A0427,R42045,OPERATING SYSTEMS,16,7,0
