74011,09541A0253,V3209,INSTRUMENTATION,5,11,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74012,10541A0208,R32024,MICROPROCESSORS AND MICROCONTROLLER,13,34,4,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74013,10541A0485,R32043,DIGITAL SIGNAL PROCESSING,14,34,4,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74014,10541A0545,R32026,MANAGEMENT SCIENCE,7,10,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74015,11541A0212,R32023,UTILIZATION OF ELECTRICAL  ENERGY,14,21,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74016,11541A0212,R32024,MICROPROCESSORS AND MICROCONTROLLER,8,37,4,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74017,12541A0204,R32022,POWER  SYSTEM ANALYSIS,18,24,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74018,12541A0318,R32033,HEAT TRANSFER,18,32,4,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74019,12541A0318,R32035,DESIGN OF MACHINE MEMBERS_II,20,11,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74020,12541A0418,R32026,MANAGEMENT SCIENCE,15,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74021,12541A0418,R32041,COMPUTER NETWORKS,15,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74022,12541A0418,R32043,DIGITAL SIGNAL PROCESSING,13,17,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74023,13541A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,4,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74024,13541A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,13,14,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74025,13541A0306,RT32035,HEAT TRANSFER,18,21,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74026,13541A0307,RT32032,INTERACTIVE COMPUTER GRAPHICS,22,26,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74027,13541A0308,RT32037A,REFRIGERATION & AIR CONDITIONING,20,37,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74028,13541A0310,RT32031,OPERATIONS RESEARCH,18,8,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74029,13541A0311,RT32034,ROBOTICS,17,14,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74030,13541A0315,RT32033,DESIGN OF MACHINE MEMBERS  II,18,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74031,13541A0322,RT32033,DESIGN OF MACHINE MEMBERS  II,21,24,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74032,13541A0322,RT32037A,REFRIGERATION & AIR CONDITIONING,21,10,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74033,13541A0329,RT32033,DESIGN OF MACHINE MEMBERS  II,17,4,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74034,13541A0329,RT32034,ROBOTICS,14,31,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74035,13541A0329,RT32035,HEAT TRANSFER,23,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74036,13541A0329,RT32037A,REFRIGERATION & AIR CONDITIONING,18,0,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74037,13541A0333,RT32033,DESIGN OF MACHINE MEMBERS  II,17,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74038,13541A0333,RT32035,HEAT TRANSFER,21,14,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74039,13541A0334,RT32031,OPERATIONS RESEARCH,17,39,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
